ABCC1	ACACA	ACO1	ACSL3	CARS1	CS	EMC2	FANCD2	G6PD	HSBP1	IREB2	LOX	LPCAT3	NCOA4	NFE2L2	NFS1	NOX4	PEBP1	PTGS2	SLC1A5	SLC40A1	TFRC	ZEB1
1.9819	3.2082	3.4118	4.8136	2.528	3.6262	3.5063	1.4354	3.9139	2.5512	2.1043	1.1233	2.9795	6.36	3.8688	2.4729	0.3094	9.6058	0.3031	3.9275	5.7779	3.1312	2.2433
1.2461	2.0475	3.32	3.4268	2.3999	3.718	2.9821	1.037	3.0614	2.5551	1.5844	0.4281	1.9665	5.5684	3.308	2.378	0.0801	9.0154	0.2742	2.64	4.9532	2.1418	0.7821
0.4927	0.914	4.0924	2.4663	1.3435	2.8226	2.8802	0.1803	1.4092	2.565	1.5772	0.905	0.3225	6.2096	3.7378	2.5691	0.8286	10.2188	0.0881	1.9447	4.0728	2.5165	1.1638
0.9731	1.6641	4.1227	3.0721	2.8227	4.0751	3.4054	0.5312	2.9055	2.8736	2.6006	1.7867	2.0481	6.3362	4.3384	2.5117	0.1986	8.9999	1.2288	2.3657	5.2089	2.7993	2.3125
1.5155	2.5235	3.2529	4.2715	2.2524	3.9573	2.8714	0.5155	4.3069	2.4251	2.3988	3.7251	1.8739	6.1636	4.2119	1.8262	0.5172	9.7438	0.04	3.1462	5.8777	4.7268	1.5854
0.4441	1.906	4.0889	3.618	2.1684	3.9681	4.1643	0.4626	2.4041	2.8809	2.4025	0.6133	1.741	6.8457	4.7168	2.1244	0.3434	10.3861	0.1301	0.7671	6.6928	1.377	2.5368
1.963	2.4323	4.0257	4.7645	2.4334	3.4265	2.6657	2.3071	2.2692	2.2738	1.8986	1.1107	2.7795	5.8889	3.8348	2.007	0.2343	8.7208	0.2426	3.5836	5.2002	3.4073	1.7391
0.5611	2.9282	4.4088	4.2663	1.3078	3.2131	2.9649	0.6996	1.7189	2.1733	2.4789	0.8677	3.1927	5.8381	3.9539	1.9864	0.2824	9.9755	0.0763	1.1887	4.995	3.8808	1.8986
1.146	1.6984	4.1152	2.5165	1.8001	2.7649	2.2889	0.7456	2.1342	2.3959	1.8221	0.9821	1.5073	5.2346	3.4655	2.4521	0.1245	10.4232	0.0431	1.2845	6.0069	3.3165	1.2289
0.3726	1.65	4.9199	3.7306	2.4809	3.8304	3.8806	0.6755	2.6877	2.4721	2.0606	0.3331	2.6433	6.3737	4.4711	2.3454	0.1447	10.1711	0.083	1.3194	6.6496	2.8832	1.0162
1.4552	2.2134	3.9884	3.6113	1.6674	3.7142	4.1145	0.3565	3.1976	2.3668	1.5963	0.4505	2.2276	5.4355	3.0394	1.8254	0.2296	9.6227	0.0566	1.9217	5.832	2.6588	0.998
0.8255	2.4191	4.9099	3.6888	1.9151	3.1022	2.4349	0.3474	2.7826	2.6691	1.338	0.7881	2.0352	5.8823	3.6702	2.2294	0.4413	9.5015	0.1299	1.9852	5.8242	3.9548	1.113
1.2485	1.8467	4.4003	3.294	1.9126	3.1561	3.4464	0.3195	3.4054	3.6314	1.6701	0.3656	0.3613	5.1827	3.6192	3.0194	0.2712	9.4778	0.3139	3.8957	5.8277	3.4432	0.9523
0.8248	2.6132	3.983	3.4495	1.7421	3.6331	2.9225	1.6773	4.5634	2.7919	1.0888	0.2399	0.2066	5.2482	2.4413	2.2405	0.1181	9.4844	0.0468	3.3904	5.0436	3.6833	0.7898
1.0815	3.1832	3.5261	3.2975	1.7507	4.5076	3.5223	1.6248	4.4376	3.4068	1.8641	0.5439	2.7889	6.2687	3.7031	3.0011	0.0723	9.9642	0.0903	2.4017	4.6775	3.2378	1.3627
1.0557	1.5792	2.8701	2.6632	2.0012	3.2779	3.3271	0.2684	4.4566	3.1668	1.5968	1.5802	0.1336	5.5599	3.7089	2.1934	0.1897	9.7801	0.0505	2.0276	4.7985	1.3285	1.1582
0.4066	1.8677	3.6999	2.9293	2.0436	5.1585	2.4658	1.5511	3.7604	3.0922	2.3642	1.175	2.5228	6.15	3.3861	3.3463	0.187	10.2728	0.0959	3.4499	4.75	3.1821	1.9464
1.125	2.8131	4.3835	4.0394	2.453	4.1432	2.75	0.5843	2.4274	2.6904	2.6062	2.6342	1.6866	6.1207	4.8527	3.3299	0.1916	10.0934	0.077	0.9056	7.6753	4.4663	2.2242
1.9458	1.9768	5.5879	4.287	1.9723	5.0596	3.1105	0.5079	2.9254	2.8295	2.7433	0.627	3.2239	6.0129	3.3171	3.2501	0.5488	9.565	0.0715	1.5203	7.0192	4.1216	1.9798
0.5593	1.3776	4.3943	2.9379	2.4589	3.0015	2.3548	0.1403	0.9993	2.5198	2.072	0.3944	1.9222	6.1558	4.1476	2.2592	0.0334	10.2538	0.6303	1.9729	5.1312	2.9834	1.4823
3.7703	3.0488	3.6738	3.678	2.0086	4.7788	3.0661	0.8658	6.7106	3.5719	2.4401	1.2686	2.7851	5.633	4.4318	2.5517	0.5848	6.3268	0.2444	5.639	5.2931	4.161	2.0411
1.4622	1.1334	2.7916	3.6657	1.4984	2.4826	3.3657	0.1572	1.8677	2.2216	1.3505	0.7954	0.4915	6.4494	3.9069	2.8882	0.1727	10.9803	0.0996	0.7883	4.756	2.6313	1.0523
0.4467	3.1604	4.0861	4.1952	2.3698	3.6097	3.5614	0.7004	5.4754	2.7795	1.8371	0.4402	1.7527	6.6705	4.3691	2.5916	0.1039	9.8765	0.0332	1.1537	5.0032	2.7817	1.1485
