symbol	cate	logFC	sign	adj.P.Val
Gas1	X4H - S4H	-3.2752	Down	1.1413e-06
Sorbs2	X4H - S4H	1.0565	Up	1.1413e-06
Reep4	X4H - S4H	-1.5088	Down	1.2357e-06
Gtl3	X4H - S4H	-1.1248	Down	1.5066e-06
Gpank1	X4H - S4H	-1.1009	Down	1.5165e-06
Gpd2	X4H - S4H	1.6449	Up	1.6002e-06
Rfxank	X4H - S4H	1.0919	Up	1.6041e-06
Tob1	X4H - S4H	-1.4107	Down	1.6041e-06
Aplf	X4H - S4H	-1.1546	Down	1.7695e-06
Herpud1	X4H - S4H	-2.5413	Down	1.7695e-06
Nphp3	X4H - S4H	-1.3271	Down	2.2154e-06
Mrap	X4H - S4H	1.3369	Up	2.3578e-06
Fkbpl	X4H - S4H	-1.0454	Down	2.9899e-06
Dact2	X4H - S4H	-2.0058	Down	3.0512e-06
Mxd1	X4H - S4H	-1.2875	Down	3.1554e-06
Rfx2	X4H - S4H	-2.3549	Down	3.2963e-06
Tead1	X4H - S4H	1.3888	Up	3.3122e-06
Lrrc16a	X4H - S4H	1.5104	Up	3.4692e-06
Thap3	X4H - S4H	-1.0874	Down	3.4811e-06
Dexi	X4H - S4H	-1.2749	Down	3.7781e-06
Rhobtb2	X4H - S4H	-1.1184	Down	4.4238e-06
Zfp40	X4H - S4H	1.6285	Up	4.943e-06
BC021767	X4H - S4H	1.2491	Up	5.0248e-06
Pctp	X4H - S4H	1.6137	Up	5.144e-06
mt-Rnr2	X4H - S4H	-1.8328	Down	5.4451e-06
Clec14a	X4H - S4H	-1.6982	Down	5.5191e-06
Npas2	X4H - S4H	2.5703	Up	5.7384e-06
Cry2	X4H - S4H	-1.0851	Down	5.7651e-06
Fbxl8	X4H - S4H	-1.4751	Down	6.0264e-06
Cacybp	X4H - S4H	-1.2239	Down	6.1415e-06
Gm10564	X4H - S4H	5.1881	Up	6.4197e-06
Cebpa	X4H - S4H	-1.1117	Down	6.7317e-06
Ralgapa2	X4H - S4H	1.0883	Up	6.7317e-06
Plekhf1	X4H - S4H	-1.5493	Down	6.8156e-06
Lin37	X4H - S4H	-1.1563	Down	7.2499e-06
AI464131	X4H - S4H	-1.2997	Down	7.2953e-06
Mad2l1bp	X4H - S4H	-1.3003	Down	8.125e-06
Stbd1	X4H - S4H	-1.456	Down	9.1848e-06
Papd7	X4H - S4H	-1.0174	Down	9.2303e-06
Dusp28	X4H - S4H	-1.1779	Down	9.7659e-06
Cxcl12	X4H - S4H	-1.1933	Down	9.9242e-06
Purg	X4H - S4H	-1.6633	Down	0
Fam20c	X4H - S4H	-1.2792	Down	0
Per2	X4H - S4H	-2.3495	Down	0
mt-Ti	X4H - S4H	-1.7448	Down	0
Sh3yl1	X4H - S4H	-1.1668	Down	0
Zfyve21	X4H - S4H	-1.0602	Down	0
Efnb2	X4H - S4H	-1.7075	Down	0
Crot	X4H - S4H	1.1592	Up	0
Ap3s1-ps2	X4H - S4H	-1.1124	Down	0
Mtmr4	X4H - S4H	-1.0191	Down	0
Ctif	X4H - S4H	1.1689	Up	0
Tmem206	X4H - S4H	-1.4925	Down	0
Slc23a2	X4H - S4H	1.1375	Up	0
Marcksl1-ps4	X4H - S4H	-2.3405	Down	0
Hook2	X4H - S4H	-1.3058	Down	0
Tbl1xr1	X4H - S4H	1.032	Up	0
Mis12	X4H - S4H	-1.132	Down	0
Pard6a	X4H - S4H	-1.0387	Down	0
N4bp2l1	X4H - S4H	-2.2195	Down	0
Ccdc120	X4H - S4H	1.6728	Up	0
Nrp1	X4H - S4H	1.1641	Up	0
Gm20522	X4H - S4H	-5.3616	Down	0
H2afx	X4H - S4H	-1.421	Down	0
P4ha1	X4H - S4H	-1.4317	Down	0
Ing2	X4H - S4H	-1.0082	Down	0
Cdk2ap2	X4H - S4H	-1.4203	Down	0
Myst4	X4H - S4H	1.0519	Up	0
Mpp7	X4H - S4H	1.276	Up	0
Fam107b	X4H - S4H	2.0146	Up	0
1810034E14Rik	X4H - S4H	-1.7554	Down	0
Arsg	X4H - S4H	1.1537	Up	0
1110065P20Rik	X4H - S4H	-1.0362	Down	0
Arl15	X4H - S4H	1.1145	Up	0
Pbx3	X4H - S4H	-1.3261	Down	0
Slc40a1	X4H - S4H	-1.764	Down	0
Nceh1	X4H - S4H	1.338	Up	0
Pdk4	X4H - S4H	3.516	Up	0
Spsb2	X4H - S4H	-1.255	Down	0
Ptch2	X4H - S4H	-6.0403	Down	0
Klf16	X4H - S4H	-1.4875	Down	0
1700017B05Rik	X4H - S4H	1.5736	Up	0
Gm10658	X4H - S4H	-1.5293	Down	0
Sgms1	X4H - S4H	1.602	Up	0
Sncaip	X4H - S4H	-4.325	Down	0
Slc5a6	X4H - S4H	-1.2292	Down	0.0001
Ldb2	X4H - S4H	-1.5444	Down	0.0001
Suv420h2	X4H - S4H	-1.0834	Down	0.0001
Gm13919	X4H - S4H	5.6358	Up	0.0001
Plin2	X4H - S4H	1.4773	Up	0.0001
Mvd	X4H - S4H	-2.9515	Down	0.0001
Kcnk5	X4H - S4H	-2.1852	Down	0.0001
Snord92	X4H - S4H	8.647	Up	0.0001
Per3	X4H - S4H	-2.5534	Down	0.0001
Rpa2	X4H - S4H	-1.4738	Down	0.0001
Abca1	X4H - S4H	1.2028	Up	0.0001
1110017F19Rik	X4H - S4H	-4.9403	Down	0.0001
Anks4b	X4H - S4H	-1.147	Down	0.0001
Pak1	X4H - S4H	-1.756	Down	0.0001
Trim65	X4H - S4H	-1.298	Down	0.0001
Snx21	X4H - S4H	-1.1776	Down	0.0001
Olfr1033	X4H - S4H	-1.3075	Down	0.0001
Xrcc1	X4H - S4H	-1.0128	Down	0.0001
Nthl1	X4H - S4H	-1.217	Down	0.0001
Mfsd12	X4H - S4H	-1.0609	Down	0.0001
2810408I11Rik	X4H - S4H	-1.7473	Down	0.0001
Rara	X4H - S4H	-1.246	Down	0.0001
Chek2	X4H - S4H	-1.9823	Down	0.0001
Tmem25	X4H - S4H	-2.2076	Down	0.0001
Dbp	X4H - S4H	-2.8912	Down	0.0001
Gm12750	X4H - S4H	-7.2697	Down	0.0001
Gm7102	X4H - S4H	-4.6103	Down	0.0001
Ets2	X4H - S4H	1.4531	Up	0.0001
2310016D23Rik	X4H - S4H	7.5216	Up	0.0001
Fam110b	X4H - S4H	-5.2518	Down	0.0001
Erg	X4H - S4H	-1.0082	Down	0.0001
Dand5	X4H - S4H	-1.0033	Down	0.0001
Fbf1	X4H - S4H	2.684	Up	0.0001
Bmp2	X4H - S4H	-1.4318	Down	0.0001
Fam161a	X4H - S4H	-1.9343	Down	0.0001
E030030I06Rik	X4H - S4H	-1.2253	Down	0.0001
Zfp521	X4H - S4H	-4.0589	Down	0.0001
Zfp428	X4H - S4H	-2.4008	Down	0.0001
Wisp1	X4H - S4H	2.1581	Up	0.0001
Loxl4	X4H - S4H	2.5295	Up	0.0001
Gas2l3	X4H - S4H	-1.7029	Down	0.0001
Amigo1	X4H - S4H	-1.0559	Down	0.0001
4933432B09Rik	X4H - S4H	-4.1645	Down	0.0001
E230013L22Rik	X4H - S4H	1.8024	Up	0.0001
Slc2a5	X4H - S4H	-1.9129	Down	0.0001
Flt4	X4H - S4H	-1.424	Down	0.0001
Cks2	X4H - S4H	-1.1438	Down	0.0001
Mcm10	X4H - S4H	-1.8738	Down	0.0001
Sertad3	X4H - S4H	-1.3991	Down	0.0001
Nid2	X4H - S4H	1.144	Up	0.0001
Adra1a	X4H - S4H	1.6627	Up	0.0001
Kctd12b	X4H - S4H	-1.817	Down	0.0001
Cxcl16	X4H - S4H	-1.374	Down	0.0001
Pik3ap1	X4H - S4H	1.0491	Up	0.0001
Cdcp1	X4H - S4H	1.6649	Up	0.0001
Trib3	X4H - S4H	-1.8765	Down	0.0002
Fam176a	X4H - S4H	-1.285	Down	0.0002
2510009E07Rik	X4H - S4H	-1.0655	Down	0.0002
Shisa2	X4H - S4H	-7.4988	Down	0.0002
Rtkn	X4H - S4H	-1.4467	Down	0.0002
Insig2	X4H - S4H	1.3746	Up	0.0002
Hyls1	X4H - S4H	-1.7278	Down	0.0002
Pold2	X4H - S4H	-1.1637	Down	0.0002
Stard4	X4H - S4H	-1.2654	Down	0.0002
Sac3d1	X4H - S4H	-1.1871	Down	0.0002
Zfp219	X4H - S4H	-1.0262	Down	0.0002
Rusc1	X4H - S4H	-1.0794	Down	0.0002
Nuak2	X4H - S4H	-1.3476	Down	0.0002
Tssc4	X4H - S4H	-1.0135	Down	0.0002
Gm14292	X4H - S4H	1.1041	Up	0.0002
AC073947.1	X4H - S4H	11.2144	Up	0.0002
Rasgrp3	X4H - S4H	-1.6225	Down	0.0002
Plekhg6	X4H - S4H	-1.1483	Down	0.0002
Art4	X4H - S4H	-1.5352	Down	0.0002
Slc16a6	X4H - S4H	1.3526	Up	0.0002
Frat2	X4H - S4H	-1.3919	Down	0.0002
Fam164c	X4H - S4H	-1.2259	Down	0.0002
Haus3	X4H - S4H	-1.026	Down	0.0003
Gem	X4H - S4H	-1.6171	Down	0.0003
Filip1	X4H - S4H	-4.9507	Down	0.0003
Insig1	X4H - S4H	-1.9426	Down	0.0003
Gm16165	X4H - S4H	-1.3189	Down	0.0003
Plekhh3	X4H - S4H	-1.0365	Down	0.0003
Zfp414	X4H - S4H	-1.0562	Down	0.0003
Ogfrl1	X4H - S4H	-1.082	Down	0.0003
Rangrf	X4H - S4H	-1.2508	Down	0.0003
Gm20419	X4H - S4H	2.0113	Up	0.0003
Tiparp	X4H - S4H	1.6459	Up	0.0003
1190005I06Rik	X4H - S4H	-1.0178	Down	0.0003
Ppfibp2	X4H - S4H	-1.0119	Down	0.0003
AC161805.1	X4H - S4H	4.7277	Up	0.0003
mt-Tg	X4H - S4H	4.4151	Up	0.0003
SNORD93	X4H - S4H	4.3957	Up	0.0003
Mir292	X4H - S4H	4.3565	Up	0.0003
Mir341	X4H - S4H	4.2507	Up	0.0003
Mir329	X4H - S4H	4.2457	Up	0.0003
AC123859.1	X4H - S4H	4.2196	Up	0.0003
n-R5s1	X4H - S4H	4.1774	Up	0.0003
Gm5416	X4H - S4H	3.7126	Up	0.0003
Trav15-1-dv6-1	X4H - S4H	3.6601	Up	0.0003
Trav12-2	X4H - S4H	3.5352	Up	0.0003
Gm14070	X4H - S4H	3.5307	Up	0.0003
Olfr99	X4H - S4H	3.4985	Up	0.0003
Gm13329	X4H - S4H	3.4294	Up	0.0003
Gm13186	X4H - S4H	3.3448	Up	0.0003
Tmco2	X4H - S4H	3.3128	Up	0.0003
Gm17732	X4H - S4H	3.2191	Up	0.0003
1700112M01Rik	X4H - S4H	3.2174	Up	0.0003
Gm9089	X4H - S4H	3.1001	Up	0.0003
Olig2	X4H - S4H	3.0595	Up	0.0003
Gm16619	X4H - S4H	3.0329	Up	0.0003
Gm13210	X4H - S4H	2.975	Up	0.0003
Gm13434	X4H - S4H	2.9716	Up	0.0003
Ankdd1a	X4H - S4H	2.947	Up	0.0003
Gm13462	X4H - S4H	2.8408	Up	0.0003
Slc16a8	X4H - S4H	2.8394	Up	0.0003
Gm6846	X4H - S4H	2.8375	Up	0.0003
Tcl1	X4H - S4H	2.8291	Up	0.0003
4933416C03Rik	X4H - S4H	2.7644	Up	0.0003
AC127575.1	X4H - S4H	2.7141	Up	0.0003
Slc34a3	X4H - S4H	2.7115	Up	0.0003
