symbol	cate	logFC	sign	adj.P.Val
Hhex	X4H - S4H	-1.8802	Down	0.004
Gm4651	X4H - S4H	9.0429	Up	0.004
Gm5483	X4H - S4H	-12.0318	Down	0.004
Tlr5	X4H - S4H	1.2207	Up	0.004
Zbtb7c	X4H - S4H	2.0533	Up	0.004
Pde7b	X4H - S4H	1.1145	Up	0.004
Gbp8	X4H - S4H	-1.9141	Down	0.0041
Il16	X4H - S4H	-1.8461	Down	0.0042
Kcnj2	X4H - S4H	-5.0741	Down	0.0043
Cdkn2d	X4H - S4H	-1.1103	Down	0.0043
Rnd1	X4H - S4H	1.6972	Up	0.0044
Zfp385a	X4H - S4H	-1.0003	Down	0.0045
Nr0b2	X4H - S4H	-2.2965	Down	0.0046
Thbd	X4H - S4H	1.16	Up	0.0047
Rfx4	X4H - S4H	2.2753	Up	0.0047
Cidec	X4H - S4H	2.5421	Up	0.0048
Hilpda	X4H - S4H	1.3556	Up	0.0049
Extl1	X4H - S4H	-1.649	Down	0.0049
Csrnp1	X4H - S4H	1.2145	Up	0.005
BC051226	X4H - S4H	-1.3559	Down	0.005
Lrrc32	X4H - S4H	-1.2434	Down	0.005
Cntnap1	X4H - S4H	1.7882	Up	0.0051
Rnf43	X4H - S4H	-1.1278	Down	0.0052
AC123616.1	X4H - S4H	7.5531	Up	0.0053
Nfatc4	X4H - S4H	-4.0058	Down	0.0053
Egf	X4H - S4H	1.5906	Up	0.0053
Gm16587	X4H - S4H	-1.6734	Down	0.0054
Mypop	X4H - S4H	-1.3344	Down	0.0054
Tes	X4H - S4H	-1.6037	Down	0.0054
Ctrb1	X4H - S4H	6.3925	Up	0.0054
6430548M08Rik	X4H - S4H	-1.5265	Down	0.0054
Pgbd1	X4H - S4H	-3.1127	Down	0.0055
Sorbs1	X4H - S4H	1.1164	Up	0.0057
Gm15611	X4H - S4H	5.1409	Up	0.0057
Myct1	X4H - S4H	-1.2806	Down	0.0057
Flna	X4H - S4H	1.0074	Up	0.0058
Chrna2	X4H - S4H	1.4845	Up	0.0058
9130206I24Rik	X4H - S4H	-8.8648	Down	0.0058
Tcf21	X4H - S4H	-1.1747	Down	0.0059
Hrct1	X4H - S4H	-4.0141	Down	0.006
Celf4	X4H - S4H	-3.8582	Down	0.0062
4930404A10Rik	X4H - S4H	9.1333	Up	0.0062
Klk1b4	X4H - S4H	-1.3654	Down	0.0062
AI428936	X4H - S4H	-1.4474	Down	0.0063
Gm8355	X4H - S4H	-1.04	Down	0.0065
1110028C15Rik	X4H - S4H	-1.048	Down	0.0066
Cep152	X4H - S4H	-1.0721	Down	0.0066
AC099934.1	X4H - S4H	-1.4987	Down	0.0068
Gm12915	X4H - S4H	-1.6429	Down	0.0068
Arid3a	X4H - S4H	-1.2922	Down	0.0068
Gm12928	X4H - S4H	1.4204	Up	0.0068
Vnn1	X4H - S4H	1.3225	Up	0.0068
BC068157	X4H - S4H	-4.574	Down	0.0069
Uprt	X4H - S4H	1.5594	Up	0.0069
Atp5l-ps1	X4H - S4H	-1.0253	Down	0.007
Aldh3a2	X4H - S4H	1.0118	Up	0.0071
Ankrd9	X4H - S4H	-1.223	Down	0.0071
Cbx2	X4H - S4H	-1.024	Down	0.0074
Gm5763	X4H - S4H	-1.9399	Down	0.0074
Hspa8	X4H - S4H	-1.0096	Down	0.0075
Gm10355	X4H - S4H	-1.3174	Down	0.0077
Gm14321	X4H - S4H	7.9699	Up	0.0077
Nrarp	X4H - S4H	-1.5499	Down	0.0078
Pvt1	X4H - S4H	1.3132	Up	0.0078
Capn6	X4H - S4H	-1.8366	Down	0.0079
Tmem71	X4H - S4H	1.0371	Up	0.0079
Gm13798	X4H - S4H	7.1178	Up	0.0079
C630004H02Rik	X4H - S4H	-1.3975	Down	0.0082
Gm16062	X4H - S4H	-1.584	Down	0.0083
1810021B22Rik	X4H - S4H	-1.0613	Down	0.0083
Gm17578	X4H - S4H	2.9615	Up	0.0083
Lamb3	X4H - S4H	1.3386	Up	0.0083
AC157822.1	X4H - S4H	-1.4386	Down	0.0083
Tlr12	X4H - S4H	1.5132	Up	0.0083
Azi1	X4H - S4H	-1.0029	Down	0.0084
Dok3	X4H - S4H	-1.7021	Down	0.0084
Prss38	X4H - S4H	3.02	Up	0.0084
Rhebl1	X4H - S4H	-1.7977	Down	0.0084
Ldha-ps2	X4H - S4H	1.6776	Up	0.0085
Rps19-ps3	X4H - S4H	-1.2261	Down	0.0086
Acsl3	X4H - S4H	-1.0375	Down	0.0086
Dnajc27	X4H - S4H	1.0097	Up	0.0087
Defb1	X4H - S4H	-1.6734	Down	0.0089
Klf1	X4H - S4H	-1.1292	Down	0.009
Ccdc164	X4H - S4H	1.4607	Up	0.009
Vsig10l	X4H - S4H	1.4209	Up	0.009
Myo1h	X4H - S4H	7.7085	Up	0.0091
Gm20442	X4H - S4H	8.1547	Up	0.0091
Gm10352	X4H - S4H	2.0907	Up	0.0093
Efcab4a	X4H - S4H	-1.0522	Down	0.0093
Cdkl3	X4H - S4H	-2.9173	Down	0.0094
Tstd1	X4H - S4H	-1.0502	Down	0.0094
Dnajc12	X4H - S4H	-1.0059	Down	0.0094
Gm13410	X4H - S4H	5.1006	Up	0.0094
Rilpl1	X4H - S4H	-1.0126	Down	0.0097
Hlx	X4H - S4H	-1.2304	Down	0.0097
Syvn1	X4H - S4H	-1.6044	Down	0.0097
Prelid2	X4H - S4H	1.6127	Up	0.0098
Ankrd36	X4H - S4H	4.3266	Up	0.0099
Cdca8	X4H - S4H	-1.3848	Down	0.0099
Fam188b	X4H - S4H	-1.1001	Down	0.0102
Neurl2	X4H - S4H	-1.1542	Down	0.0104
Foxa2	X4H - S4H	-1.0139	Down	0.0105
Tsku	X4H - S4H	-2.0274	Down	0.0106
Tulp2	X4H - S4H	-7.4752	Down	0.0106
Trpm8	X4H - S4H	7.8306	Up	0.0107
2500002B13Rik	X4H - S4H	-1.2437	Down	0.0107
Kctd7	X4H - S4H	-1.2421	Down	0.0108
Tbx3	X4H - S4H	-1.1793	Down	0.011
Nrm	X4H - S4H	-1.3651	Down	0.011
Pde9a	X4H - S4H	-1.1119	Down	0.011
Aox3	X4H - S4H	1.037	Up	0.0111
Esm1	X4H - S4H	-4.5715	Down	0.0112
Sprr2a3	X4H - S4H	8.7084	Up	0.0113
Hmcn2	X4H - S4H	1.4654	Up	0.0114
Glcci1	X4H - S4H	-3.4275	Down	0.0114
AC156953.1	X4H - S4H	-1.6997	Down	0.0115
Lrat	X4H - S4H	-1.248	Down	0.0115
Rad54b	X4H - S4H	2.3938	Up	0.0116
Ehhadh	X4H - S4H	1.1457	Up	0.0116
Crybb3	X4H - S4H	2.0958	Up	0.0117
Gm11989	X4H - S4H	-2.011	Down	0.0117
1700011H14Rik	X4H - S4H	-2.0386	Down	0.0117
Psg23	X4H - S4H	-1.4084	Down	0.0118
Btg2	X4H - S4H	1.4256	Up	0.0118
Gm15990	X4H - S4H	4.324	Up	0.0119
Hspa5	X4H - S4H	-1.3306	Down	0.0119
Gm14373	X4H - S4H	1.3679	Up	0.012
Bhlhb9	X4H - S4H	1.1009	Up	0.012
Plscr1	X4H - S4H	1.1905	Up	0.0122
Gm11313	X4H - S4H	4.5365	Up	0.0123
Sfn	X4H - S4H	-1.2531	Down	0.0123
Gm10101	X4H - S4H	-5.3196	Down	0.0123
Tmc8	X4H - S4H	-1.3969	Down	0.0124
Gm4694	X4H - S4H	-1.0682	Down	0.0124
Gm10621	X4H - S4H	-5.4085	Down	0.0125
Wnt4	X4H - S4H	-1.5884	Down	0.0128
Clec1a	X4H - S4H	-1.2401	Down	0.0129
Map3k13	X4H - S4H	1.3438	Up	0.0129
4931428F04Rik	X4H - S4H	-1.1347	Down	0.013
Il34	X4H - S4H	-1.1769	Down	0.013
Gadd45b	X4H - S4H	1.5481	Up	0.0131
Gm7237	X4H - S4H	7.452	Up	0.0133
Gm17475	X4H - S4H	7.7093	Up	0.0133
Cebpe	X4H - S4H	-1.0198	Down	0.0135
Eml1	X4H - S4H	-1.0106	Down	0.0135
Gm15534	X4H - S4H	3.0738	Up	0.0136
Zmynd15	X4H - S4H	-1.4643	Down	0.0137
Gm16178	X4H - S4H	3.3104	Up	0.0137
Prr18	X4H - S4H	-8.815	Down	0.0137
Klra1	X4H - S4H	7.6546	Up	0.0137
Nos1ap	X4H - S4H	1.3651	Up	0.0143
Gm9428	X4H - S4H	6.1955	Up	0.0144
ORF63	X4H - S4H	8.3867	Up	0.0145
Lrrc1	X4H - S4H	-1.0617	Down	0.0145
Birc5	X4H - S4H	-1.6466	Down	0.0147
Exog	X4H - S4H	-1.0463	Down	0.0149
Gm12758	X4H - S4H	4.0113	Up	0.0149
Irx3	X4H - S4H	-4.5186	Down	0.0151
Mirlet7i	X4H - S4H	8.9803	Up	0.0152
1700022P22Rik	X4H - S4H	3.5609	Up	0.0154
Myh13	X4H - S4H	4.5216	Up	0.0154
Creld2	X4H - S4H	-1.9877	Down	0.0157
Fabp9	X4H - S4H	3.3822	Up	0.0159
6430573F11Rik	X4H - S4H	1.0516	Up	0.0161
Bcl2l11	X4H - S4H	-1.0045	Down	0.0161
Sgk1	X4H - S4H	1.0119	Up	0.0161
RP23-171A13.8	X4H - S4H	3.2368	Up	0.0161
Olfr755-ps1	X4H - S4H	8.4464	Up	0.0161
Spef1	X4H - S4H	-1.0531	Down	0.0163
Plagl1	X4H - S4H	-1.4	Down	0.0163
Cd207	X4H - S4H	-2.0195	Down	0.0164
AL833775.1	X4H - S4H	4.3206	Up	0.0167
Mir30e	X4H - S4H	4.2698	Up	0.0167
Mid1ip1	X4H - S4H	-1.1149	Down	0.0167
Zfpm2	X4H - S4H	-1.5109	Down	0.0167
Kazn	X4H - S4H	1.1711	Up	0.0168
Clcn1	X4H - S4H	7.6336	Up	0.0169
Cldn15	X4H - S4H	-3.2265	Down	0.0169
Pcdhb22	X4H - S4H	-3.5302	Down	0.0171
Gm16786	X4H - S4H	2.7496	Up	0.0171
Gm10644	X4H - S4H	-1.4986	Down	0.0171
9930012K11Rik	X4H - S4H	-3.6414	Down	0.0172
Gm16719	X4H - S4H	-1.3808	Down	0.0172
Slc22a6	X4H - S4H	2.4568	Up	0.0172
Sdf2l1	X4H - S4H	-1.4603	Down	0.0172
Slc41a2	X4H - S4H	1.119	Up	0.0174
Gm13684	X4H - S4H	1.7437	Up	0.0179
Fpr1	X4H - S4H	-2.2373	Down	0.0179
Ushbp1	X4H - S4H	-1.0637	Down	0.0181
Prph	X4H - S4H	-7.0578	Down	0.0181
Slc22a3	X4H - S4H	1.0826	Up	0.0181
Alpl	X4H - S4H	1.0295	Up	0.0182
A330040F15Rik	X4H - S4H	-2.9856	Down	0.0183
Ptplad2	X4H - S4H	-1.5562	Down	0.0184
Calcr	X4H - S4H	2.4684	Up	0.0185
Peli3	X4H - S4H	-1.3495	Down	0.0187
Baiap2	X4H - S4H	-1.2867	Down	0.0187
Gm14894	X4H - S4H	2.9803	Up	0.019
Gm16070	X4H - S4H	2.108	Up	0.0192
Fkbp11	X4H - S4H	-1.0975	Down	0.0192
Gm13634	X4H - S4H	-1.2945	Down	0.0193
Gm13375	X4H - S4H	-1.2196	Down	0.0194
Mrc1	X4H - S4H	-1.0135	Down	0.0197
Abcg1	X4H - S4H	-1.0857	Down	0.0198
Steap4	X4H - S4H	1.6353	Up	0.0199
Fam176b	X4H - S4H	-1.063	Down	0.0201
Il1f9	X4H - S4H	-4.8634	Down	0.0202
Gm16008	X4H - S4H	1.643	Up	0.0203
Gm3055	X4H - S4H	1.4946	Up	0.0203
Sftpd	X4H - S4H	-1.7509	Down	0.0205
Zfp385b	X4H - S4H	-1.3263	Down	0.0207
Cenpk	X4H - S4H	-1.4198	Down	0.021
Gm6305	X4H - S4H	7.1503	Up	0.0213
Lman1l	X4H - S4H	7.2986	Up	0.0213
Prtn3	X4H - S4H	-2.2145	Down	0.0218
Msl3l2	X4H - S4H	1.1151	Up	0.0218
Cbl	X4H - S4H	1.1516	Up	0.0218
Prrg4	X4H - S4H	3.2547	Up	0.0218
Mslnl	X4H - S4H	2.6609	Up	0.0221
Parm1	X4H - S4H	1.5541	Up	0.0223
Gm10373	X4H - S4H	3.3182	Up	0.0225
Gm16523	X4H - S4H	3.4024	Up	0.0225
Rec8	X4H - S4H	-1.8455	Down	0.0226
Trbj1-7	X4H - S4H	4.615	Up	0.0226
Zbtb32	X4H - S4H	-6.0315	Down	0.0227
Gm2832	X4H - S4H	6.0674	Up	0.0228
Evc2	X4H - S4H	-1.0308	Down	0.0229
Gm12473	X4H - S4H	3.4168	Up	0.023
Csnka2ip	X4H - S4H	2.984	Up	0.0232
Manf	X4H - S4H	-1.4031	Down	0.0234
Snora36b	X4H - S4H	4.0962	Up	0.0236
Gpcpd1	X4H - S4H	1.2331	Up	0.024
Iqcg	X4H - S4H	-1.0389	Down	0.0242
Tcf19	X4H - S4H	-1.1338	Down	0.0243
Btnl9	X4H - S4H	-1.0742	Down	0.0244
Neurl1a	X4H - S4H	-7.1317	Down	0.0245
Sstr4	X4H - S4H	7.0213	Up	0.0245
Vmn2r18	X4H - S4H	2.7373	Up	0.0245
Ppp1r16b	X4H - S4H	-1.0126	Down	0.0245
Mir320	X4H - S4H	4.3265	Up	0.0245
Esco2	X4H - S4H	-2.0803	Down	0.0245
Gm16532	X4H - S4H	2.4065	Up	0.0246
Gm9853	X4H - S4H	1.0425	Up	0.0248
Gm3326	X4H - S4H	1.7807	Up	0.025
Gm7352	X4H - S4H	1.7182	Up	0.025
Gm8164	X4H - S4H	1.7182	Up	0.025
Gm8266	X4H - S4H	1.7182	Up	0.025
Gm8379	X4H - S4H	1.7182	Up	0.025
Gm4904	X4H - S4H	1.717	Up	0.025
Gm8305	X4H - S4H	1.717	Up	0.025
Gm8323	X4H - S4H	1.7147	Up	0.025
Gm2871	X4H - S4H	1.7135	Up	0.025
Gm5698	X4H - S4H	2.7584	Up	0.0253
Trav15n-1	X4H - S4H	3.327	Up	0.0253
Tspy-ps	X4H - S4H	3.3243	Up	0.0256
Nr1d1	X4H - S4H	-1.8552	Down	0.0256
4930544I03Rik	X4H - S4H	3.006	Up	0.0256
1700008P20Rik	X4H - S4H	3.1825	Up	0.0257
Gm17036	X4H - S4H	3.7815	Up	0.0259
A430046D13Rik	X4H - S4H	-1.0397	Down	0.0262
Cldn4	X4H - S4H	-5.3198	Down	0.0265
Lrrtm1	X4H - S4H	2.9232	Up	0.0265
Zfp61	X4H - S4H	-1.4727	Down	0.0265
Mir291a	X4H - S4H	4.3265	Up	0.0265
D730045B01Rik	X4H - S4H	-7.3452	Down	0.0271
Csgalnact1	X4H - S4H	-1.4746	Down	0.0272
Gm14057	X4H - S4H	-1.3979	Down	0.0274
Hist2h3c2	X4H - S4H	-1.6297	Down	0.0277
Pltp	X4H - S4H	-1.4559	Down	0.0277
Syt12	X4H - S4H	1.4246	Up	0.0278
Fzd2	X4H - S4H	-6.3833	Down	0.028
Sprr2a2	X4H - S4H	5.6903	Up	0.028
Lhfpl2	X4H - S4H	-1.0016	Down	0.0282
Gm7613	X4H - S4H	2.9723	Up	0.0282
Stmn3	X4H - S4H	5.0063	Up	0.0287
Nipal1	X4H - S4H	-1.7051	Down	0.0288
Gm13767	X4H - S4H	1.1038	Up	0.0289
Sprr2a1	X4H - S4H	5.6943	Up	0.029
Tceal1	X4H - S4H	-1.272	Down	0.029
Cyp21a2-ps	X4H - S4H	-1.6281	Down	0.0291
Gngt2	X4H - S4H	-1.1587	Down	0.0292
Tmprss5	X4H - S4H	7.7936	Up	0.0293
Ap3m2	X4H - S4H	-1.0236	Down	0.0293
Gm14023	X4H - S4H	-1.1911	Down	0.0294
Esrrb	X4H - S4H	-2.8558	Down	0.0308
1810019D21Rik	X4H - S4H	-1.137	Down	0.0309
Gm10000	X4H - S4H	2.5958	Up	0.0311
Casp1	X4H - S4H	-1.2109	Down	0.0312
Il13ra2	X4H - S4H	3.9375	Up	0.0313
Aqp12	X4H - S4H	3.0839	Up	0.0315
Txnip	X4H - S4H	1.2866	Up	0.0317
AW011738	X4H - S4H	-1.0206	Down	0.0318
Lyve1	X4H - S4H	-1.4075	Down	0.0324
Rgs19	X4H - S4H	-1.2718	Down	0.0325
Epcam	X4H - S4H	-1.1676	Down	0.033
Osgin1	X4H - S4H	-1.6271	Down	0.0332
Dcst1	X4H - S4H	6.5403	Up	0.0332
S1pr5	X4H - S4H	-1.2277	Down	0.0333
Tmem151b	X4H - S4H	2.8737	Up	0.0334
Gm16152	X4H - S4H	2.827	Up	0.0336
Cxxc4	X4H - S4H	-5.938	Down	0.0336
Clec2d	X4H - S4H	-1.097	Down	0.0338
AC163389.1	X4H - S4H	-1.4571	Down	0.0339
Gm12026	X4H - S4H	1.1478	Up	0.034
8430429K09Rik	X4H - S4H	-1.3641	Down	0.0342
4930511I11Rik	X4H - S4H	7.7532	Up	0.0344
Gm16793	X4H - S4H	-1.2392	Down	0.0348
1110020A21Rik	X4H - S4H	-1.1454	Down	0.0349
Tcp10c	X4H - S4H	6.8024	Up	0.0349
Olfr61	X4H - S4H	3.0804	Up	0.035
Smpdl3b	X4H - S4H	-3.6006	Down	0.0351
Slamf9	X4H - S4H	-3.9631	Down	0.0356
Prrg3	X4H - S4H	1.3301	Up	0.0356
Gm14936	X4H - S4H	6.3448	Up	0.0359
Gm9516	X4H - S4H	2.5374	Up	0.036
Ccdc88a	X4H - S4H	-1.1412	Down	0.0361
Gm17414	X4H - S4H	7.0691	Up	0.0361
Gad2	X4H - S4H	6.2578	Up	0.0363
Pitx3	X4H - S4H	8.1845	Up	0.0367
Gm4064	X4H - S4H	2.0907	Up	0.0367
Lect1	X4H - S4H	-1.4092	Down	0.0368
Zfp442	X4H - S4H	1.2274	Up	0.0369
Csad	X4H - S4H	1.0374	Up	0.0369
Alg10b	X4H - S4H	1.0761	Up	0.0371
Hist3h2a	X4H - S4H	-1.1859	Down	0.0374
Gm16194	X4H - S4H	7.4848	Up	0.0375
Gm15784	X4H - S4H	1.0007	Up	0.0376
Brsk1	X4H - S4H	-5.2827	Down	0.0376
Psat1	X4H - S4H	-1.6794	Down	0.0378
Sorbs3	X4H - S4H	-1.0158	Down	0.0381
Rpl28-ps3	X4H - S4H	-1.9503	Down	0.0383
Gm12923	X4H - S4H	6.6364	Up	0.0386
Gimap7	X4H - S4H	-7.0938	Down	0.0387
Adcy1	X4H - S4H	1.4708	Up	0.0387
2410133F24Rik	X4H - S4H	-1.4682	Down	0.0396
Gm3086	X4H - S4H	6.8376	Up	0.0397
3222401L13Rik	X4H - S4H	-3.4295	Down	0.0397
B430010I23Rik	X4H - S4H	6.7584	Up	0.0397
Adam12	X4H - S4H	-4.2067	Down	0.0401
1700007J10Rik	X4H - S4H	8.2311	Up	0.0404
4931422A03Rik	X4H - S4H	5.7951	Up	0.0404
Ugt1a10	X4H - S4H	1.3292	Up	0.0405
Slc27a6	X4H - S4H	-7.6626	Down	0.0405
Gm16861	X4H - S4H	-6.505	Down	0.0409
Gm16541	X4H - S4H	-9.0715	Down	0.0409
Slc9a5	X4H - S4H	-3.2013	Down	0.0409
Zfp781	X4H - S4H	1.4198	Up	0.0417
1810062G17Rik	X4H - S4H	-4.1787	Down	0.042
Bex4	X4H - S4H	-1.2193	Down	0.0423
Chst7	X4H - S4H	-4.0089	Down	0.0423
Gm10418	X4H - S4H	3.4193	Up	0.0423
Gm9844	X4H - S4H	-1.0467	Down	0.0425
4930451C15Rik	X4H - S4H	2.467	Up	0.0425
Gm16077	X4H - S4H	1.1522	Up	0.0433
Lag3	X4H - S4H	-1.0826	Down	0.0436
Gm14554	X4H - S4H	5.9794	Up	0.0437
4930509G22Rik	X4H - S4H	-1.0908	Down	0.0437
Gm11515	X4H - S4H	3.325	Up	0.0437
Gm2411	X4H - S4H	-3.266	Down	0.0438
Gm4755	X4H - S4H	3.0676	Up	0.044
Shc2	X4H - S4H	-3.1244	Down	0.044
Dclk3	X4H - S4H	-1.5404	Down	0.0441
Scrg1	X4H - S4H	-6.052	Down	0.0444
Gm15319	X4H - S4H	7.6304	Up	0.0445
Hoxb4	X4H - S4H	-1.3764	Down	0.0445
Creb3l1	X4H - S4H	-1.4251	Down	0.0446
Gm12354	X4H - S4H	-1.0663	Down	0.0446
Gm16551	X4H - S4H	-1.5247	Down	0.0447
AI467606	X4H - S4H	-4.2338	Down	0.0449
BC048644	X4H - S4H	5.4949	Up	0.045
Gm7694	X4H - S4H	1.1607	Up	0.0451
Igfbp1	X4H - S4H	1.7957	Up	0.0456
Irx1	X4H - S4H	-4.7142	Down	0.0456
Plk2	X4H - S4H	-1.1221	Down	0.0457
Zfp551	X4H - S4H	1.1086	Up	0.046
Ccdc149	X4H - S4H	-1.305	Down	0.0462
Slc25a30	X4H - S4H	1.6625	Up	0.0462
3110007F17Rik	X4H - S4H	-1.2888	Down	0.0463
Rian	X4H - S4H	1.1658	Up	0.0464
Cd84	X4H - S4H	-1.1976	Down	0.0464
Slc13a5	X4H - S4H	1.5199	Up	0.0464
Tusc5	X4H - S4H	-3.913	Down	0.0464
Slc37a2	X4H - S4H	-1.0831	Down	0.0465
Akap12	X4H - S4H	1.1975	Up	0.0465
Kazald1	X4H - S4H	-1.0866	Down	0.0468
0610040F04Rik	X4H - S4H	8.4089	Up	0.0469
Gm9115	X4H - S4H	1.2226	Up	0.0471
Fgf20	X4H - S4H	4.8246	Up	0.0472
Dlk1	X4H - S4H	7.1414	Up	0.0472
Gm2619	X4H - S4H	-4.5688	Down	0.0477
Trbj1-3	X4H - S4H	4.526	Up	0.0479
Bspry	X4H - S4H	-5.5268	Down	0.0482
Fabp7	X4H - S4H	-1.5313	Down	0.0488
Gm11730	X4H - S4H	3.2131	Up	0.0488
Rpl31-ps6	X4H - S4H	-7.2694	Down	0.0491
Dio3os	X4H - S4H	-5.2586	Down	0.0494
Gpr152	X4H - S4H	2.4661	Up	0.0498
Fbxo47	X4H - S4H	2.5446	Up	0.05
Itih2	X10H - S10H	1.0964	Up	1.4214e-09
Gm11537	X10H - S10H	-6.6356	Down	2.2635e-09
Enpp3	X10H - S10H	-2.157	Down	2.2912e-08
Picalm	X10H - S10H	1.0816	Up	1.7358e-07
Cbln3	X10H - S10H	6.9204	Up	2.7346e-07
Spna2	X10H - S10H	1.081	Up	3.0613e-07
Tubb2b	X10H - S10H	2.4445	Up	4.1631e-07
Tubb2a	X10H - S10H	2.3979	Up	4.1631e-07
Ccdc120	X10H - S10H	2.3045	Up	5.8061e-07
Wdr92	X10H - S10H	1.903	Up	1.7652e-06
Insig2	X10H - S10H	2.0215	Up	2.0377e-06
Thbd	X10H - S10H	2.2241	Up	2.0377e-06
Spnb2	X10H - S10H	1.0075	Up	2.0377e-06
Akr1c14	X10H - S10H	-1.9184	Down	2.0377e-06
Aass	X10H - S10H	1.3005	Up	2.6645e-06
Cidec	X10H - S10H	4.7154	Up	4.3708e-06
Enc1	X10H - S10H	2.2568	Up	4.6398e-06
Sord	X10H - S10H	-1.2473	Down	5.7981e-06
Mettl7a1	X10H - S10H	-1.1404	Down	8.4108e-06
Pmepa1	X10H - S10H	1.6872	Up	0
Slc25a23	X10H - S10H	-1.0289	Down	0
Tnfrsf12a	X10H - S10H	2.4593	Up	0
Tmed5	X10H - S10H	1.0586	Up	0
Flna	X10H - S10H	1.7671	Up	0
Pctp	X10H - S10H	1.7184	Up	0
Plin2	X10H - S10H	1.7975	Up	0
Dhrs3	X10H - S10H	-1.6623	Down	0
Gucy1a2	X10H - S10H	6.3485	Up	0
Gm15318	X10H - S10H	-1.8373	Down	0
Adamts1	X10H - S10H	1.6877	Up	0
mt-Ti	X10H - S10H	-1.8967	Down	0
Keg1	X10H - S10H	-2.549	Down	0
Ly6a	X10H - S10H	1.548	Up	0
Rspo3	X10H - S10H	1.2739	Up	0
Lama3	X10H - S10H	-2.2833	Down	0
Ly6c1	X10H - S10H	6.0793	Up	0.0001
Actb	X10H - S10H	1.1173	Up	0.0001
Nlrp6	X10H - S10H	-1.175	Down	0.0001
Palmd	X10H - S10H	1.162	Up	0.0001
BC025446	X10H - S10H	-1.0133	Down	0.0001
Hsd3b5	X10H - S10H	-5.3876	Down	0.0001
Tagln	X10H - S10H	2.7958	Up	0.0001
Tpm1	X10H - S10H	1.0153	Up	0.0001
Lin7a	X10H - S10H	-1.2435	Down	0.0001
Sema3b	X10H - S10H	2.9668	Up	0.0001
Armcx4	X10H - S10H	1.9765	Up	0.0001
Klkb1	X10H - S10H	-1.3757	Down	0.0001
Adck3	X10H - S10H	-1.8821	Down	0.0002
0610012H03Rik	X10H - S10H	1.0299	Up	0.0002
Trim65	X10H - S10H	-1.4136	Down	0.0002
Car5a	X10H - S10H	-1.7637	Down	0.0002
Gm12840	X10H - S10H	1.4852	Up	0.0002
Il21r	X10H - S10H	7.0274	Up	0.0002
Slc22a3	X10H - S10H	1.8661	Up	0.0002
Trib2	X10H - S10H	1.6477	Up	0.0002
Ttc39c	X10H - S10H	-1.236	Down	0.0003
Apol9b	X10H - S10H	-1.5851	Down	0.0003
Syngr1	X10H - S10H	4.0458	Up	0.0003
Capn3	X10H - S10H	-2.1845	Down	0.0003
Pik3c2a	X10H - S10H	1.0591	Up	0.0003
Ifrd1	X10H - S10H	1.455	Up	0.0003
P2ry14	X10H - S10H	5.0661	Up	0.0003
Nop56	X10H - S10H	1.0824	Up	0.0003
Naip1	X10H - S10H	4.3448	Up	0.0003
Cyp7a1	X10H - S10H	-3.9678	Down	0.0003
Dcbld1	X10H - S10H	1.0576	Up	0.0003
Fabp4	X10H - S10H	1.8739	Up	0.0004
Nid1	X10H - S10H	1.9173	Up	0.0004
Cxadr	X10H - S10H	1.1154	Up	0.0004
Tgm2	X10H - S10H	1.3323	Up	0.0004
Map4k1	X10H - S10H	4.6019	Up	0.0004
Id1	X10H - S10H	2.3723	Up	0.0004
Myl9	X10H - S10H	2.5103	Up	0.0004
Snhg1	X10H - S10H	1.0884	Up	0.0004
Tk1	X10H - S10H	-1.655	Down	0.0005
Vwa2	X10H - S10H	9.883	Up	0.0005
Cd19	X10H - S10H	7.4712	Up	0.0005
Gm20419	X10H - S10H	2.2544	Up	0.0005
Ccdc122	X10H - S10H	1.2314	Up	0.0005
Gm5697	X10H - S10H	-7.8321	Down	0.0005
Pik3ap1	X10H - S10H	1.1115	Up	0.0005
Gyk	X10H - S10H	1.006	Up	0.0005
Esx1	X10H - S10H	7.2716	Up	0.0005
Lrrc16a	X10H - S10H	1.2826	Up	0.0006
Cd200r1	X10H - S10H	4.131	Up	0.0006
Akr1c19	X10H - S10H	-1.3876	Down	0.0006
Hsd3b3	X10H - S10H	-1.8929	Down	0.0006
Upp2	X10H - S10H	-2.4447	Down	0.0006
Gbp10	X10H - S10H	-1.9993	Down	0.0007
Ppp1r1b	X10H - S10H	-1.7215	Down	0.0007
Ankrd1	X10H - S10H	3.2868	Up	0.0007
Slc20a1	X10H - S10H	1.2496	Up	0.0007
Egflam	X10H - S10H	2.1352	Up	0.0007
Adam15	X10H - S10H	1.4251	Up	0.0007
Lrit2	X10H - S10H	-1.9933	Down	0.0007
Gm4450	X10H - S10H	-7.8745	Down	0.0007
Bco2	X10H - S10H	-1.2135	Down	0.0008
Gm6762	X10H - S10H	4.2763	Up	0.0008
Ifit3	X10H - S10H	-1.7903	Down	0.0009
Aifm3	X10H - S10H	-1.305	Down	0.0009
9230112E08Rik	X10H - S10H	-1.6155	Down	0.0009
Pitpnc1	X10H - S10H	-1.003	Down	0.0009
Lgr5	X10H - S10H	-1.671	Down	0.0009
Tpm4	X10H - S10H	1.2262	Up	0.0009
Fam55b	X10H - S10H	-1.3576	Down	0.0009
Ehhadh	X10H - S10H	1.6824	Up	0.0009
