YAP1	WWTR1	ABCC1	ACACA	ACSL3	CS	FANCD2	FTL	G6PD	IREB2	LOX	LPCAT3	NCOA4	NFE2L2	NOX4	PEBP1	PTGS2	SLC1A5	SLC40A1	TFRC	ZEB1
3.1103	2.5021	1.284	1.6603	3.9096	3.6955	0.2128	14.151	3.0471	1.6559	0.5616	1.9798	5.344	3.4006	0.2252	9.4695	0.211	2.561	4.7007	2.9233	1.5286
2.7041	2.6783	0.5699	2.8368	3.0547	3.4101	0.9008	12.7496	2.8167	2.6887	0.5213	2.5937	5.7033	3.8221	0.2268	10.2955	0.0952	2.8276	6.5302	3.5636	1.2732
2.7084	2.1202	0.3811	2.0192	2.9652	3.5993	0.1964	13.2113	1.8322	1.6312	0.2426	1.2569	5.719	4.0981	0.1077	9.8099	0.1042	1.0292	4.6931	3.3559	1.1423
2.0402	0.8976	0.3439	1.743	3.7103	3.0325	1.4806	13.9064	2.4716	2.0828	2.0264	1.0297	4.356	4.6126	0.1328	9.9139	0.1451	3.3677	6.0145	2.9773	1.4228
2.8633	2.3185	0.1621	2.309	2.977	3.0517	0.2259	13.5677	1.5024	2.1049	0.2956	1.4985	5.6607	4.8552	0.0734	10.2494	0.0174	0.7162	6.9632	3.5101	1.986
4.1026	3.6398	3.038	1.4388	3.0604	5.779	0.4558	11.3891	4.3554	1.9696	1.3924	1.4486	5.0254	4.0949	0.75	9.0185	0.316	5.5005	7.3393	4.5971	1.3977
2.5492	2.9705	3.1964	3.2331	3.4521	4.0739	1.3921	13.9648	6.9093	2.0427	0.4418	1.1113	4.5807	4.1176	0.1288	7.4106	0.1272	5.6186	5.774	4.4867	1.695
3.6686	3.0228	0.4441	1.906	3.618	3.9681	0.4626	12.6155	2.4041	2.4025	0.6133	1.741	6.8457	4.7168	0.3434	10.3861	0.1301	0.7671	6.6928	1.377	2.5368
3.8108	2.5875	2.5103	1.822	3.1267	4.4606	2.3537	13.168	5.1611	2.4144	4.1468	1.3319	5.4223	3.5841	1.2248	6.3142	0.4584	6.7887	4.5129	3.8389	2.1051
3.4023	2.5047	1.3625	1.8361	4.2329	4.564	0.7662	14.5582	5.3452	2.14	1.0581	1.0561	6.3969	3.1373	0.0595	10.5717	0.0397	4.1776	6.1463	2.5931	1.3449
3.6959	3.8645	2.7311	3.021	4.479	4.8406	1.3117	14.9069	6.6416	1.9473	1.6297	1.9655	6.3068	4.5912	0.3294	9.7672	0.117	3.975	6.874	4.1231	2.0201
2.6445	1.6369	1.1183	1.7313	2.7397	2.9082	0.3367	12.7437	2.1112	1.4849	0.2016	0.5825	5.1893	4.2768	0.096	10.1939	0	0.4706	4.9165	2.2486	0.4981
2.5337	1.9681	0.7382	1.6507	3.1259	3.1275	0.2135	13.4147	1.9447	1.7424	1.8161	1.9522	5.7447	4.1455	0.3626	9.5587	0.4229	2.3527	5.6889	2.1107	1.2443
3.0147	2.4739	0.1943	4.3566	4.2156	3.7129	0.9652	11.7775	2.4556	2.3622	0.2328	4.3445	6.3842	4.9596	0.0892	10.0949	0	3.9772	5.9671	3.9099	1.3537
3.3747	2.8872	1.8449	1.7377	3.516	3.8755	0.4044	12.7978	3.8032	2.3804	3.1548	2.2882	6.1267	3.7915	0.6173	8.9147	1.1237	2.3394	5.7408	3.1328	2.7422
2.9534	2.3746	1.7377	1.9268	3.9183	3.513	0.3526	14.2714	3.8951	1.7482	1.272	1.8733	5.7074	3.968	0.4685	9.3524	0.4816	2.455	5.9551	3.2023	2.1448
0.9522	1.0422	0.2866	0.9209	1.2909	2.4887	0.1629	13.4213	1.2517	1.0255	0.0903	0.0587	4.3259	1.8967	0.208	10.6276	0.0228	1.4746	3.8748	1.7112	0.5929
3.9647	2.2405	1.3244	3.2594	3.1762	3.6024	1.6256	12.434	2.9513	3.1313	1.3265	2.1506	5.8511	3.3387	0.6088	8.6284	0.2739	2.5522	5.4763	4.9115	2.2555
2.8492	1.3937	1.0722	3.3099	4.7357	3.5076	1.0946	14.9572	5.2675	1.1973	1.8717	0.5504	5.3628	2.7171	0.3783	8.5823	0.0318	4.2368	4.1689	3.9394	0.581
2.8743	1.6133	1.0025	1.7863	3.5664	3.9487	0.3511	14.9593	2.4372	1.8422	0.8181	1.5988	5.144	3.8544	0.1426	9.2475	0.0922	3.0257	5.0274	3.6351	1.1093
2.9557	3.0222	0.542	2.5034	4.3087	3.2854	0.5809	10.5863	1.0843	2.8996	0.4843	3.616	6.2522	4.9661	0.2182	9.1964	0.0734	2.3568	6.3924	5.6149	1.93
