symbol	log2FC	qvalue	group
Dennd1b	0.0583	0.8919	None
Glt8d2	4.8173	0.0363	Up
Sirt2	-0.3105	0.2555	None
Mir6953	-0.0006	0.9998	None
Hirip3	-0.5483	0.3147	None
Cstf2	0.1016	0.8306	None
Larp4b	-0.0766	0.8006	None
Tspo	0.5697	0.0387	None
Il15	0.0356	0.9751	None
Arsb	0.5653	0.0156	None
Btbd10	0.4344	0.4899	None
Csf2ra	1.3242	0.0001	Up
Golga7b	-0.1462	0.9615	None
Fbrsl1	-0.427	0.0538	None
Gm6642	-0.5388	0.4387	None
Casp7	-0.2597	0.3154	None
6430550D23Rik	-0.5686	0.6736	None
Sema5a	0.1626	0.8926	None
Erich1	1.1601	0.102	None
Dock4	-0.9336	0	None
Sugp2	0.0038	0.9948	None
Smarcc1	0.3415	0.251	None
Igfbp3	-1.9177	2.2654e-08	Down
Ube2q2	-0.6856	0.0034	None
Pfkfb4	2.0297	0.0001	Up
Anxa8	3.4788	0.1564	None
Clcn6	0.5108	0.1753	None
Wfdc18	-4.3646	0.1331	None
Osgin1	0.6823	0.0022	None
Vwa8	-1.2155	3.9266e-11	Down
Wdr70	-0.5143	0.3194	None
Apol7e	-0.6955	0.725	None
Exph5	-0.0027	0.9954	None
Snrpf	-2.7916	0.0641	None
Tead3	-0.1688	0.7119	None
Baz2a	0.2665	0.2488	None
Gm10336	-0.2959	0.5009	None
Slc2a6	2.206	0.0725	None
Rpl12	-0.0506	0.9431	None
Taf2	-0.2848	0.4715	None
Abraxas2	-0.0643	0.8456	None
Creb3l1	2.2207	0.0002	Up
Oma1	0.1277	0.8265	None
Oser1	0.3666	0.354	None
Tsnax	-0.1419	0.6568	None
Xk	-0.1075	0.8513	None
Mup13	-10.2829	1e-30	Down
Got1	0.5333	0.6589	None
2210416O15Rik	-1.1403	0.5502	None
Rassf1	0.5455	0.1222	None
Vps33b	-0.0627	0.9468	None
Mthfd2	2.2112	0.0074	Up
Zfand2b	-0.189	0.7439	None
Dtx3l	-0.3009	0.1278	None
Nudc	-0.3352	0.3954	None
Mir7654	-0.2246	0.7795	None
Tbc1d7	0.2246	0.9081	None
Pzp	-0.044	0.8696	None
Brca1	1.3819	0.002	Up
Nlrc3	-0.5526	0.5994	None
Mir675	8.4553	6.536e-06	Up
Traf3ip3	0.1604	0.8476	None
Capn7	-0.1014	0.77	None
Ranbp3l	-2.2853	0.136	None
Pwwp3a	-0.0594	0.9257	None
Tmem104	0.2158	0.5944	None
Tbc1d2	0.5568	0.6086	None
Galk2	0.1347	0.7781	None
3830408C21Rik	-1.352	0.4291	None
Zfp971	-1.1147	0.0023	Down
Slc5a3	-0.2823	0.6053	None
Invs	-0.1497	0.7169	None
Dcun1d1	-0.677	0.0015	None
AW209491	-0.1961	0.5744	None
Zfp984	1.0156	0.0116	Up
Taf3	-0.2563	0.5749	None
Bsdc1	0.2465	0.3074	None
Rbbp5	-0.4578	0.0975	None
Nbr1	-0.1308	0.6478	None
3110056K07Rik	-0.9231	0.1254	None
Zc2hc1a	1.7889	0	Up
Hs2st1	0.703	0.0039	None
Smyd5	0.0186	0.9686	None
Atp6v0a4	1.383	0.4318	None
Klf1	-2.1807	0	Down
Auh	-0.5878	0.1456	None
Mir7001	1.3238	0.6286	None
Hcst	-0.2976	0.9382	None
Cln5	0.4615	0.0298	None
Gm32461	-2.6131	0.034	Down
Igfbp1	4.166	2.945e-08	Up
Oat	-0.8852	0.0008	None
Tmem160	0.1406	0.7671	None
Zfp950	0.4413	0.3526	None
Prss53	-0.7495	0.1149	None
Arap2	0.1925	0.6039	None
Trappc9	0.1206	0.8632	None
Gnpda1	-1.0145	3.8051e-07	Down
Sgms2	0.1562	0.6178	None
Kyat3	-0.5535	0.0344	None
Trp53rka	-0.4697	0.329	None
Fcamr	2.2554	0.1418	None
Sema3b	1.5901	0.0417	Up
Phf11d	0.1319	0.8919	None
Inka1	-2.2191	0.1902	None
Tfpt	-0.5826	0.2582	None
0610040B10Rik	-1.6579	0.1355	None
Pigbos1	-0.7402	0.3703	None
Maml1	-0.0296	0.9409	None
Asic1	-0.0603	0.9497	None
Lyrm9	-0.2715	0.6608	None
Ube2h	-0.1911	0.5254	None
Gpbp1l1	-0.0828	0.8043	None
Ccdc107	-0.3269	0.3569	None
Ddx31	0.2083	0.781	None
Dusp13	-2.4238	0.3645	None
Ntn1	1.0885	2.8481e-06	Up
Ptn	4.231	0.0404	Up
Pnma1	-1.5293	0.6104	None
Fosl1	0.2305	0.8844	None
Klhl21	-0.7594	0.0001	None
Poc5	-0.4069	0.5753	None
Gpr182	-0.4346	0.2238	None
Atf2	-0.2866	0.2406	None
Tlr1	2.0827	1.2831e-06	Up
Zfp36	2.2905	0.0214	Up
Zfp738	-0.3296	0.5301	None
Snn	0.6358	0.2537	None
Tmem251	-0.2304	0.6611	None
Zbtb10	0.7462	0.0452	None
Cpsf4	-0.2979	0.3544	None
Msr1	1.0714	0.0017	Up
Uvrag	0.1864	0.5489	None
Ppp1r15b	-0.8313	5.4069e-06	None
Tcte2	-0.2191	0.9148	None
Arhgap42	-0.5087	0.0432	None
Rrp9	-0.6968	0.4561	None
Seh1l	-0.3817	0.0857	None
Snora7a	-0.2876	0.9211	None
E2f2	1.8439	0.0036	Up
Dlg3	-0.1909	0.6258	None
S1pr3	1.0013	0.1045	None
Fam167b	-0.4428	0.4399	None
Sult5a1	-7.1967	1.1928e-09	Down
Rnft1	-0.0163	0.9684	None
Rpl10a	-0.1071	0.806	None
Ptp4a2	0.293	0.0896	None
Ugt3a2	-2.0583	1e-30	Down
Tnpo1	0.3472	0.2445	None
Lefty1	-1.1169	0.4578	None
Psd2	4.2932	0.1581	None
Sprn	-1.9824	0.0019	Down
Zfp862-ps	-0.3723	0.4063	None
Ints5	-0.1592	0.6889	None
Nedd9	2.5753	5.3532e-16	Up
Gm11715	-0.137	0.8693	None
Gm2011	-0.861	0.4604	None
Rras2	0.281	0.4298	None
G630025P09Rik	0.0762	0.8678	None
Coro1a	0.2888	0.6637	None
Bcl2l2	-0.2867	0.2765	None
Clic3	-0.3334	0.7762	None
Ccnjl	0.2304	0.9553	None
Trappc8	0.1407	0.7039	None
Kcnt2	-0.5323	0.5787	None
Chmp1a	-0.0117	0.9696	None
Aifm1	-0.1238	0.788	None
Ccnd1	-0.2928	0.7404	None
Vasp	0.9195	0.0001	None
4930432K21Rik	1.5237	0.6852	None
Sox5	-0.396	0.2179	None
Slc12a8	0.7539	0.7352	None
Mnd1-ps	-0.3977	0.4476	None
Fig4	0.0902	0.9238	None
Mrpl3	-0.1618	0.7265	None
Dbnl	0.3268	0.2237	None
Cdh3	1.0746	0.5716	None
Cilp	0.5122	0.7418	None
Mrps2	-0.3199	0.2224	None
Fgb	0.1014	0.7351	None
Wipf3	0.1628	0.7404	None
Sec14l2	-0.2433	0.2748	None
Fam20a	0.8139	0.0097	None
Slc7a10	-0.6228	0.4739	None
Pex11a	-1.4132	8.7755e-09	Down
Erc2	0.4644	0.3649	None
Itgam	2.0717	0.0001	Up
Hist1h2br	0.7085	0.5201	None
Zfp623	-0.0533	0.9122	None
Clcn2	-1.3119	1.1789e-06	Down
Sf3b3	0.1773	0.6402	None
Apbb1	-0.305	0.8687	None
Eif4ebp2	-0.2718	0.2434	None
Homer3	0.0287	0.9647	None
Agrn	0.1292	0.6329	None
Ppp2r3c	-0.2854	0.7159	None
Mir6244	0.459	0.8416	None
Ccdc122	1.7355	7.6163e-08	Up
Lef1	-0.1129	0.9773	None
Zbtb25	0.7257	0.1909	None
Mbd1	-0.64	0.026	None
Syne4	0.176	0.8812	None
H2-Ob	-0.581	0.5656	None
Prkar2b	1.8804	0.0265	Up
Cnbp	-0.3022	0.0919	None
Slc39a7	-0.2277	0.428	None
Sh2d7	-1.0653	0.4542	None
Galns	2.2061	1.5782e-17	Up
Gm31333	1.5713	0.2697	None
Cpt1b	-0.1176	0.9088	None
Snd1	0.1647	0.5959	None
Cc2d2a	0.403	0.7314	None
Tmem190	-0.1505	0.9654	None
Zcrb1	-1.1574	0.155	None
Msl3	-0.4309	0.0953	None
N4bp2l1	-1.9139	7.448e-13	Down
Zfp619	-0.5149	0.5353	None
Khdrbs3	-0.7141	0.0826	None
Arf1	0.0197	0.9455	None
Nrros	0.483	0.2915	None
Atp7b	-0.1684	0.6653	None
Fam234a	0.0955	0.7299	None
Cygb	1.4378	2.5216e-08	Up
Kat7	0.0827	0.8435	None
Ncapg	0.2218	0.8632	None
Prrg4	1.872	0.0825	None
Eri2	-0.6659	0.0141	None
Batf3	0.2665	0.8524	None
Brcc3	0.3266	0.3136	None
Thoc2	-0.1296	0.7179	None
Rnf168	-0.205	0.5148	None
Dnah1	4.6289	4.4754e-07	Up
Hcfc1r1	0.105	0.7833	None
Nagk	0.4129	0.5748	None
Hcfc1	-0.0173	0.9587	None
Zcwpw1	0.3946	0.5807	None
Rdh11	0.0077	0.9895	None
Rnasel	0.8656	0.0406	None
Cdkn3	3.0376	0.345	None
Tbx3	-0.9418	0.0009	None
Dmac1	-0.5243	0.0662	None
Kin	-0.0422	0.9214	None
Pcgf1	-0.3766	0.7699	None
Ksr1	0.0214	0.9791	None
Ypel3	-0.1885	0.6367	None
Mboat1	3.7585	0.0018	Up
Snrk	-0.6234	0.0042	None
Pdgfc	2.6183	5.5591e-14	Up
Endog	-1.1112	2.9625e-11	Down
Serpini1	2.0677	0.1839	None
Nav1	0.7371	0.0114	None
Saal1	-1.0059	0.2679	None
Ttc8	0.4389	0.5311	None
Scgb1c1	4.0167	0.2304	None
Hmg20a	0.0192	0.9628	None
AW146154	-0.5444	0.2728	None
Rnf215	-0.0788	0.8788	None
