symbol	log2FC	qvalue	group
Chmp2b	0.7319	0.0002	None
Ms4a6b	1.5251	0.0168	Up
Tmem252	-0.7414	0.5055	None
1700096K18Rik	-0.6118	0.375	None
Cmya5	3.3957	0.08	None
Gabpb1	-0.1392	0.7757	None
Man2b2	0.3237	0.3348	None
Gm11545	0.384	0.8046	None
Rpl32l	0.0298	0.9273	None
Slc35c2	0.2543	0.4357	None
Cyp4f18	1.5767	0.1496	None
Mir1902	0.2174	0.6757	None
Tle1	-0.6931	0.0342	None
Atxn1l	0.3003	0.2185	None
Lrrc59	0.41	0.0384	None
Prox1	-0.368	0.3478	None
Zfp410	-0.3089	0.4612	None
Mettl1	0.018	0.9871	None
Crebbp	0.254	0.4596	None
Cep295	0.0932	0.9232	None
Gm2061	0.0058	0.994	None
H2-K1	-0.3607	0.0563	None
Snf8	-0.7956	0.177	None
Cd44	1.6581	1.3273e-11	Up
Ercc1	-0.2455	0.8223	None
Snora16a	-1.302	0.2679	None
Klhdc7a	-0.2835	0.4198	None
C2cd4c	3.634	2.6e-07	Up
Fbxl18	0.2402	0.7111	None
Zfp788	-0.1262	0.8544	None
Lemd2	-0.3607	0.1336	None
Hmcn1	-0.8711	0.4862	None
Cyp2j5	-1.0379	6.6546e-12	Down
Eif3l	-0.2754	0.3691	None
Ss18	-0.2938	0.2496	None
4930473A02Rik	1.011	0.3551	None
Ptpn4	0.188	0.8852	None
Mbtps2	0.6588	0.0176	None
Adgrl3	2.7452	0.2485	None
Slc39a5	-2.7557	0.0538	None
Gm3414	-0.4624	0.5336	None
Rhobtb3	-0.7675	0.058	None
Nckipsd	0.3126	0.535	None
Tm7sf2	-0.8514	0.0001	None
Ciz1	0.367	0.2558	None
Il1b	1.3183	0.0897	None
Marcks	0.5565	0.0452	None
Dach1	-0.4145	0.8669	None
Trmt2a	0.2536	0.4647	None
Cnnm4	1.4145	0.0002	Up
Pdcl	-0.1074	0.7635	None
Impact	0.5955	0.0381	None
Plek2	-0.3488	0.8497	None
Abcc3	0.5237	0.0236	None
Iqank1	0.9428	0.7341	None
Slc16a1	0.6722	0.001	None
Mypop	1.2938	0.0003	Up
Aph1b	0.9399	0.0182	None
Pde3a	0.0099	0.9904	None
Xpa	0.0928	0.9209	None
Ilrun	0.1508	0.4778	None
Crybg1	1.0197	1.7887e-06	Up
Nipsnap3b	-0.0145	0.9653	None
Abcc9	0.0277	0.9409	None
St6galnac2	-0.0687	0.9636	None
Pkd2l2	0.089	0.8712	None
Fbln1	0.2278	0.9081	None
Hnrnpu	-0.2711	0.1423	None
Zfp651	0.6096	0.3538	None
Tbc1d14	0.5875	0.0246	None
Zswim7	-0.5091	0.3822	None
Abi3	2.3621	3.9653e-13	Up
Furin	-0.0564	0.8804	None
Lrrc57	0.04	0.9455	None
Fcgbp	-2.1952	0.5403	None
Gadd45b	3.7512	0.0023	Up
Coro1b	0.0538	0.8583	None
Setbp1	0.0805	0.9417	None
Ano2	2.4833	0.3357	None
Phkg1	-0.7017	0.7332	None
Xrcc5	-0.4519	0.5979	None
Cdkl3	2.7103	0.1377	None
LOC106557447	-1.2021	0.3715	None
Rsrc1	-0.6735	0.0287	None
Phldb1	0.9895	0.0029	None
Sh2d1b1	3.2282	0.0972	None
Mccc1os	-4.9496	0.0351	Down
Lrsam1	0.8487	0.0016	None
Slc66a2	-0.7029	0.0033	None
Rubcnl	1.7998	0.4431	None
Gm14391	-0.6842	0.1868	None
P3h3	0.9851	0.0674	None
Prmt1	-1.6215	0.2155	None
Oas3	1.3557	0.058	None
Dnajc15	-1.1312	0.0808	None
Ginm1	-0.6013	0.0583	None
Abhd17a	-0.1461	0.5762	None
Mtap	0.1049	0.7792	None
Rcc2	0.2212	0.5257	None
Paqr4	0.8585	0.0649	None
Kif13a	-0.5603	0.0689	None
Blnk	-0.4735	0.6909	None
