gene	exprs	group
EGFR	0.7494	Tumor
TP53	3.5191	Tumor
KRAS	2.936	Tumor
BRAF	1.1898	Tumor
EGFR	3.8129	Tumor
TP53	2.6361	Tumor
KRAS	1.7654	Tumor
BRAF	0.964	Tumor
EGFR	2.1925	Tumor
TP53	2.2611	Tumor
KRAS	1.8216	Tumor
BRAF	0.7599	Tumor
EGFR	3.7761	Tumor
TP53	2.6727	Tumor
KRAS	2.2355	Tumor
BRAF	0.7737	Tumor
EGFR	3.1706	Tumor
TP53	1.4412	Tumor
KRAS	0.9778	Tumor
BRAF	0.3375	Tumor
EGFR	1.3615	Tumor
TP53	1.7503	Tumor
KRAS	2.403	Tumor
BRAF	0.8251	Tumor
EGFR	4.8887	Tumor
TP53	1.7946	Tumor
KRAS	1.2524	Tumor
BRAF	0.2439	Tumor
EGFR	2.5365	Tumor
TP53	2.5556	Tumor
KRAS	1.5643	Tumor
BRAF	0.5915	Tumor
EGFR	1.5775	Tumor
TP53	2.0163	Tumor
KRAS	2.2609	Tumor
BRAF	0.5369	Tumor
EGFR	3.1919	Tumor
TP53	2.8892	Tumor
KRAS	3.0079	Tumor
BRAF	1.1702	Tumor
EGFR	2.278	Tumor
TP53	1.5125	Tumor
KRAS	1.8894	Tumor
BRAF	0.6364	Tumor
EGFR	3.0301	Tumor
TP53	2.5032	Tumor
KRAS	1.736	Tumor
BRAF	0.5621	Tumor
EGFR	1.1654	Tumor
TP53	3.5829	Tumor
KRAS	3.0344	Tumor
BRAF	1.7179	Tumor
EGFR	3.3729	Tumor
TP53	2.7256	Tumor
KRAS	2.6113	Tumor
BRAF	0.8125	Tumor
EGFR	3.8242	Tumor
TP53	2.1286	Tumor
KRAS	1.554	Tumor
BRAF	0.5322	Tumor
EGFR	1.729	Tumor
TP53	2.0369	Tumor
KRAS	1.8104	Tumor
BRAF	0.4441	Tumor
EGFR	2.127	Tumor
TP53	3.4966	Tumor
KRAS	1.1166	Tumor
BRAF	0.4026	Tumor
EGFR	1.4674	Tumor
TP53	2.542	Tumor
KRAS	2.7562	Tumor
BRAF	1.0304	Tumor
EGFR	4.686	Tumor
TP53	2.6323	Tumor
KRAS	1.8397	Tumor
BRAF	0.7481	Tumor
EGFR	3.9124	Tumor
TP53	2.8265	Tumor
KRAS	2.3697	Tumor
BRAF	1.0161	Tumor
EGFR	3.7966	Tumor
TP53	2.1826	Tumor
KRAS	2.0618	Tumor
BRAF	0.6227	Tumor
EGFR	2.9213	Tumor
