patient	sample_type	BRCA1
TCGA-BH-A1EU	Tumor	2.2901
TCGA-BH-A1EU	Normal	1.4859
TCGA-BH-A1EV	Normal	2.5828
TCGA-BH-A1EV	Tumor	3.3321
TCGA-BH-A1EW	Tumor	3.7539
TCGA-BH-A1EW	Normal	2.8137
TCGA-BH-A1F0	Tumor	3.7475
TCGA-BH-A1F0	Normal	1.0915
TCGA-BH-A1F2	Normal	1.5165
TCGA-BH-A1F2	Tumor	2.6828
TCGA-BH-A1F6	Tumor	2.4171
TCGA-BH-A1F6	Normal	1.4704
TCGA-BH-A1F8	Tumor	3.7039
TCGA-BH-A1F8	Normal	1.9786
TCGA-BH-A1FB	Tumor	2.2543
TCGA-BH-A1FB	Normal	1.7185
TCGA-BH-A1FC	Tumor	3.2602
TCGA-BH-A1FC	Normal	1.2085
TCGA-BH-A1FD	Tumor	2.6487
TCGA-BH-A1FD	Normal	0.7321
TCGA-BH-A1FE	Normal	2.4649
TCGA-BH-A1FE	Tumor	4.0662
TCGA-BH-A1FG	Tumor	1.816
TCGA-BH-A1FG	Normal	0.4552
TCGA-BH-A1FH	Tumor	1.3956
TCGA-BH-A1FH	Normal	1.2875
TCGA-BH-A1FJ	Normal	1.196
TCGA-BH-A1FJ	Tumor	4.5964
TCGA-BH-A1FM	Tumor	2.4063
TCGA-BH-A1FM	Normal	2.0569
TCGA-BH-A1FN	Normal	1.7185
TCGA-BH-A1FN	Tumor	3.4048
TCGA-BH-A1FR	Tumor	3.0446
TCGA-BH-A1FR	Normal	1.642
TCGA-BH-A1FU	Normal	1.9149
TCGA-BH-A1FU	Tumor	2.0147
TCGA-BH-A203	Tumor	2.1894
TCGA-BH-A203	Normal	1.9302
TCGA-BH-A204	Tumor	4.588
TCGA-BH-A204	Normal	0.7664
TCGA-BH-A208	Normal	1.595
TCGA-BH-A208	Tumor	0.3907
TCGA-BH-A209	Tumor	2.7292
TCGA-BH-A209	Normal	1.46
TCGA-E2-A153	Tumor	1.9675
TCGA-E2-A153	Normal	1.8323
TCGA-E2-A158	Normal	0.4016
TCGA-E2-A158	Tumor	0.3796
TCGA-E2-A15I	Tumor	2.6693
TCGA-E2-A15I	Normal	1.2085
TCGA-E2-A15K	Normal	0.2881
TCGA-E2-A15K	Tumor	3.8759
TCGA-E2-A15M	Tumor	2.7161
TCGA-E2-A15M	Normal	1.1897
TCGA-E2-A1BC	Normal	-0.0877
TCGA-E2-A1BC	Tumor	1.6374
TCGA-E2-A1IG	Normal	1.7912
TCGA-E2-A1IG	Tumor	3.6254
TCGA-E2-A1L7	Normal	2.3871
TCGA-E2-A1L7	Tumor	1.7316
TCGA-E2-A1LB	Normal	1.9601
TCGA-E2-A1LB	Tumor	1.7954
TCGA-E2-A1LH	Tumor	1.1316
TCGA-E2-A1LH	Normal	1.7446
TCGA-E2-A1LS	Tumor	-0.4325
TCGA-E2-A1LS	Normal	1.1184
TCGA-E9-A1N4	Tumor	2.9356
TCGA-E9-A1N4	Normal	2.1509
TCGA-E9-A1N5	Normal	3.0074
TCGA-E9-A1N5	Tumor	2.9765
TCGA-E9-A1N6	Tumor	2.7594
TCGA-E9-A1N6	Normal	2.1638
TCGA-E9-A1N9	Tumor	3.4371
TCGA-E9-A1N9	Normal	2.3164
TCGA-E9-A1NA	Normal	1.8444
TCGA-E9-A1NA	Tumor	1.5316
TCGA-E9-A1ND	Tumor	2.5363
TCGA-E9-A1ND	Normal	1.334
TCGA-E9-A1NF	Tumor	1.334
TCGA-E9-A1NF	Normal	2.0395
TCGA-E9-A1NG	Tumor	2.6067
TCGA-E9-A1NG	Normal	1.683
TCGA-E9-A1R7	Tumor	3.866
TCGA-E9-A1R7	Normal	1.7053
TCGA-E9-A1RB	Tumor	3.7138
TCGA-E9-A1RB	Normal	2.0707
TCGA-E9-A1RC	Tumor	3.6172
TCGA-E9-A1RC	Normal	1.3454
TCGA-E9-A1RD	Tumor	2.8955
TCGA-E9-A1RD	Normal	1.5854
TCGA-E9-A1RF	Tumor	1.2815
TCGA-E9-A1RF	Normal	1.7575
TCGA-E9-A1RH	Tumor	3.6006
TCGA-E9-A1RH	Normal	1.125
TCGA-E9-A1RI	Normal	1.8484
TCGA-E9-A1RI	Tumor	3.2112
TCGA-GI-A2C8	Tumor	0.3115
TCGA-GI-A2C8	Normal	0.7058
TCGA-GI-A2C9	Normal	1.3846
TCGA-GI-A2C9	Tumor	-0.8599
