type	n
ACC	92
BLCA	412
BRCA	1097
CESC	307
CHOL	45
COAD	459
DLBC	48
ESCA	185
GBM	596
HNSC	528
KICH	113
KIRC	537
KIRP	291
LAML	200
LGG	515
LIHC	377
LUAD	522
LUSC	504
MESO	87
OV	587
PAAD	185
PCPG	179
PRAD	500
READ	170
SARC	261
SKCM	470
STAD	443
TGCT	134
THCA	507
THYM	124
UCEC	548
UCS	57
UVM	80
