WT	KO	group	symbol
2.7489	1.2769	Down	Zfp560
0.027	7.937	Up	Gpnmb
77.9675	97.5539	None	Sdr39u1
20.238	26.3061	None	Pptc7
0.5023	3.5399	Up	Aoah
0.6297	0.0991	None	Penk
1.2936	5.2362	Up	Spidr
1.2947	3.4208	None	Tlr6
0.2688	0.2225	None	Serpinb7
138.9349	86.6038	None	Bbox1
0.8835	0.1526	None	Rnf212b
3.2852	7.7101	Up	Tnfaip8
39.1806	39.3966	None	Taf15
17.4377	18.7285	None	Nav2
73.4722	78.305	None	Gnas
3.2924	25.2116	Up	Il22ra1
0.7138	0.8485	None	Zfp458
89.6751	94.8944	None	Tmem70
0.0533	0.2368	None	Skint3
51.7744	38.9927	None	Tmem222
51.925	57.4858	None	Cpq
1.9396	2.3766	None	Nup37
69.237	76.2363	None	Wsb2
7.551	9.2775	None	Mgp
2.179	1.0847	None	Clec3b
2.0956	1.3779	None	D030028A08Rik
19.3723	20.429	None	Mpg
0.3764	1.163	None	BC147527
46.9597	48.3089	None	Khsrp
1.4051	1.3573	None	Fam189a2
20.8237	13.4785	None	Gng5
1.5353	1.0257	None	Tmem252
1.48	6.0759	Up	Fbln2
9.1947	0.722	Down	Meg3
4.0786	6.3055	None	Chp2
57.9345	68.5831	None	Erlin1
33.8552	33.2048	None	Bad
38.8539	551.6351	Up	Orm2
1.3679	2.3625	None	Jrk
0.7799	0.6806	None	2610206C17Rik
90.9459	88.4583	None	Nsmf
0.0502	0.1354	None	Plxnb3
15.462	9.8533	None	Rps27a
8.6613	4.5295	None	Vamp1
9.7822	9.3965	None	Zbtb38
2.7947	7.5954	Up	Ikbip
4.0129	6.2979	None	2500004C02Rik
55.961	60.6598	None	Kcnk5
161.512	167.181	None	Ube2l6
0.0706	0.0548	None	Myo18b
76.9543	67.9371	None	Srsf1
7845.9126	6748.1983	None	Gpx1
0.8887	0.3086	None	Gm4432
10.1569	11.3522	None	Wdr33
4.6273	6.7183	None	Stk11ip
580.1297	467.6141	None	Msmo1
6.0258	8.6687	None	Cd24a
0.0833	0.359	None	Angpt4
18.9615	9.3211	None	Mir1901
12.8868	15.3553	None	Ep300
1.1256	2.4915	None	Mgat4a
6.1645	10.9055	None	Tlr3
4.723	1.4911	Down	Nat8
4.1223	1.0482	None	1700120K04Rik
1.0791	2.1755	None	Ccnb2
1.8263	2.2153	None	Jam3
16.1273	19.0088	None	Atg2a
4.6353	5.5912	None	Serf1
0.4185	0.6557	None	Eif5a2
5.9734	7.0523	None	Ntmt1
13.7143	19.8588	None	Tmem199
13.5801	15.1956	None	Mageh1
5.9476	11.2245	None	Atp13a2
39.221	38.5994	None	Rsl1d1
1.46	3.8683	None	Hey1
11.4201	6.94	None	Mccc1
40.2461	43.2812	None	Nme1
651.5925	151.6783	Down	Cyp2c50
7.9156	9.2579	None	Zfp113
0.3485	5.167	Up	Tmem139
3.7471	8.2613	None	E230016M11Rik
95.2056	90.738	None	Mmp19
8.9372	9.6827	None	Sumf2
101.8867	90.6559	None	Dhrs1
34.5002	29.2044	None	Adprm
13.0949	20.7212	None	Pcdhga8
61.6064	46.2534	None	Mtln
14.8188	25.1462	None	Map7
14.234	15.8307	None	Zfp523
19.7565	17.4142	None	Abcb8
8.7947	33.5569	Up	Gltp
0.0562	0.2369	None	Adam7
17.4556	16.4069	None	Foxk2
1.8833	9.1867	Up	Rftn1
20.9553	40.8412	None	Plec
0.3743	0.1433	None	LOC100861978
0.5698	2.0759	None	Cd300ld5
0.1657	0.7683	None	Pstpip1
19.4913	21.8961	None	4833420G17Rik
18.5686	17.2224	None	Psmb2
8.0853	4.6192	None	Npr1
0.5353	0.4353	None	Reep2
2.631	3.6363	None	Smarcal1
8.7219	3.1997	Down	Fn3k
35.5357	46.7102	None	Mbnl2
30.7928	35.8814	None	Ric8a
0.8178	1.4296	None	4931431C16Rik
767.8844	679.2895	None	F2
1.8475	0.805	None	Gm13872
4.2116	4.9604	None	Cdan1
4.7231	6.6778	None	Slc25a48
12.2919	16.0357	None	A630066F11Rik
28.1799	36.7761	None	Rcc2
11.6877	13.3793	None	Zscan25
4.5839	6.4672	None	Ntn4
26.5671	27.2457	None	Ppp4r3b
5.1755	11.3714	None	Arl4c
