WT	KO	group	symbol
0.0813	0.1646	None	Lrrc2
84.3083	85.5794	None	Utp3
32.118	27.4676	None	Dars
16.2156	18.5892	None	Klf11
285.9231	270.001	None	Hsp90b1
0.1954	0.2468	None	Sptbn5
3.1905	9.0933	Up	Pdlim7
12.3128	17.2108	None	AU040320
2.3961	3.7729	None	Zfp28
8.7761	4.9782	None	Slc25a21
11.0277	14.7831	None	Usp48
9.9631	7.6816	None	Blvra
3.275	3.6414	None	Snrpn
14.1838	19.7837	None	Scaf8
0.233	0.1635	None	Cdc45
65.6606	94.4902	None	Evi5
3.7954	3.6643	None	Zfp40
1.6056	4.8453	Up	Ripk3
4.0989	5.0249	None	2810002D19Rik
6.8152	7.3512	None	Ndufv2
3.6137	4.0898	None	Zfp54
30.9872	27.9622	None	Nudc
2.3159	2.7818	None	Cpm
135.5067	159.813	None	Ywhab
1.7362	2.8274	None	Gpatch1
1.7628	3.1865	None	Jaml
24.8371	24.3582	None	Nub1
14.2989	15.017	None	Rnf8
6.2976	7.3198	None	Rnf113a1
6.4023	122.2619	Up	Nr4a1
2.2387	1.7452	None	Ctnnbl1
5.9364	2.1409	None	Gm35549
72.3622	74.6013	None	Sgta
41.9137	48.9358	None	Rnf115
28.1686	31.6543	None	Taok2
17.7796	17.7341	None	Wdr73
0.2315	1.1222	None	Mis18bp1
0.4705	0.2135	None	Hormad2
41.9431	57.135	None	Akirin1
0.2912	0.2126	None	Apol11b
16.9406	12.4836	None	Ptdss2
1.107	3.829	Up	Pkia
0.3911	4.2861	Up	Gm4907
1.5958	3.2042	None	Zfp202
57.0445	83.8223	None	Rragc
70.8356	60.8518	None	Atad1
4.4226	2.3991	None	5830454E08Rik
9.7883	7.939	None	Tnfsf10
2.7039	19.018	Up	Pdgfc
17.5148	20.7479	None	Taok1
8.7958	10.0562	None	Sipa1
3.8464	3.9272	None	Haus7
0.4164	0.328	None	Nap1l5
22.1454	22.2151	None	Pnpla7
63.6481	159.1025	None	Nfkbia
49.464	40.4974	None	0610030E20Rik
49.195	34.42	None	Hyi
12.8786	21.9697	None	Mib2
13.1612	34.9956	Up	Rhoq
2.1246	2.503	None	Ccdc102a
75.2388	76.4423	None	Pcbp2
47.3196	40.6411	None	Fdx1
31.1461	34.3041	None	Usp47
3.5133	2.6523	None	Tmem138
16.1279	13.476	None	Eef1d
0.4446	0.4668	None	Thbs3
13.8819	20.8416	None	Slc35e3
4.8161	8.1636	None	Hdac7
38.2702	27.5419	None	Flad1
337.4742	467.7298	None	Gpd1
1.9305	3.7228	None	Scai
14.1818	13.6445	None	Tshz1
16.715	11.1791	None	Bco2
0.3623	0.3645	None	5730507C01Rik
1.1681	0.462	None	G630016G05Rik
42.5495	32.4629	None	Il6ra
42.1833	29.7312	None	BC003965
33.3792	40.4329	None	Plekhg3
8.9591	10.4354	None	Prr14l
0.827	0.8295	None	Ovgp1
0.0481	0.0492	None	Dnah8
23.6424	23.294	None	Zc3h18
115.1854	27.3832	Down	Pdk1
20.1658	22.8241	None	Ankrd33b
16.5117	13.9332	None	Mettl2
2.5318	5.2139	None	Msl3l2
15.9602	14.9591	None	Ccpg1os
3.8033	4.1204	None	Ktn1
20.5947	20.0608	None	Fbxw2
21.2911	16.819	None	Ndufa12
3.0023	4.0588	None	Haus6
50.8759	74.5605	None	Gbe1
10.2539	7.8054	None	Lyar
87.5341	323.2717	Up	Urml
21.0741	31.7307	None	Spata13
5.2702	6.9121	None	Ocrl
5.4159	6.1209	None	Nbn
22.73	23.7845	None	Brpf3
209.8803	83.5381	Down	Aspdh
14.2151	19.1107	None	Elk4
75.4695	62.4305	None	Gpr146
55.4358	74.6955	None	Gm7367
0.2544	0.4013	None	Aff3
0.6609	2.1986	None	Gm16159
0.0416	1.4725	Up	Adcy1
13.4938	18.4924	None	Ctr9
3.4177	4.8071	None	Zfp7
172.1264	143.4067	None	Acsf2
147.0727	129.3333	None	Coasy
2.994	4.0014	None	5730480H06Rik
8.2422	6.2882	None	Tmem39a
1.202	2.0997	None	Dnajc2
19.1948	10.2873	Down	Smyd2
11.2464	9.5594	None	Proser1
0.3555	0.1195	None	Sgpp2
1.1725	1.5486	None	Tnfrsf13b
14.2422	33.7931	Up	Foxp4
200.9296	179.5512	None	Dlst
63.2809	57.0291	None	St3gal3
44.7809	74.0663	None	Trafd1
1.4648	1.474	None	Tyms
40.2431	45.9113	None	Mir130c
33.555	32.0977	None	Wbp11
99.525	107.9914	None	Tmed9
0.4271	1.2423	None	Rftn2
13.4451	12.9243	None	Ino80e
2.8868	18.1629	Up	Dusp14
1.051	1.1338	None	B4galnt3
42.9867	47.9723	None	Papola
15.0282	17.9805	None	Rab28
212.2742	239.9078	None	Cenpb
0.3635	0.727	None	Ankrd55
10.3347	13.7881	None	B9d2
6.6934	6.0479	None	Cfap298
122.1838	79.5722	None	Phb2
10.0201	11.9577	None	Cpeb3
17.5136	17.0565	None	Sbno1
0.2066	0.1355	None	Gpr52
7.0306	7.735	None	Trrap
3.003	9.6073	Up	Pamr1
23.3167	10.5563	Down	Clcn2
31.2137	38.2238	None	Gm11837
27.9843	26.9448	None	Cptp
0.6377	3.2296	Up	Cd33
50.7465	59.909	None	Ccdc124
9.0057	18.8283	None	Nans
0.5896	1.4194	None	Gm16523
0.0581	0.3723	None	Brinp1
3.6107	3.5945	None	Letm2
2.0585	7.0148	Up	Rcan3
8.7129	8.957	None	Ecpas
11.844	13.7357	None	Wipi1
0.6595	1.0833	None	Vstm5
18.6442	20.5385	None	Smg6
16.7383	13.4763	None	Tm2d3
0.4254	0.744	None	Arhgap28
29.9993	30.5421	None	Ncl
32.6784	56.3298	None	Prg4
15.6703	18.5059	None	Klc3
14.6947	14.1124	None	Snx2
104.9913	112.8402	None	Habp2
11.9565	8.9813	None	Atp6v1h
2.2775	4.4412	None	Slfn9
1.4756	14.3108	None	Mir122
357.103	264.9189	None	Serpinf1
16.2538	17.2633	None	Ppig
0.1151	0.0853	None	Nlrp10
0.7293	2.0324	None	Spon1
0.3556	0.4851	None	Zfp979
1.7134	4.1567	None	Gdpd1
84.2334	85.4688	None	H2-T22
21.5764	26.3563	None	Mtmr3
5.5082	9.2544	None	Trip11
120.7612	38.2524	Down	Retsat
312.0951	0.329	Down	Mup15
23.2006	312.769	Up	Mup20
6.2072	2.6306	Down	Crybg3
78.9621	111.9323	None	Tex2
15.9108	54.1213	Up	Cebpd
0.3954	16.0431	Up	Osbpl3
2.8826	1.856	None	Tbc1d4
1117.5896	1060.7326	None	Mir135a-1
1.1948	1.553	None	Taf9b
9.5004	11.7829	None	Zfp644
166.5354	175.9065	None	Amdhd1
30.7719	58.703	None	Ifngr2
0.7823	0.9177	None	Ssbp2
687.0559	64.0981	Down	Cyp2c37
8.3903	9.1875	None	Kiz
3.4197	2.5213	None	Trmt10a
0.0341	0.5947	Up	Ldb3
59.4667	53.3865	None	Tmem134
4.5562	2.8054	None	Trmt61b
19.6362	20.3732	None	Vps54
1.0324	0.7895	None	Col4a3
32.8123	39.2062	None	Phf23
138.8082	107.4675	None	Slc25a42
11.8195	13.5188	None	Mir7087
11.2171	8.0138	None	Fam185a
63.5027	74.1331	None	Ubald1
58.5213	90.1671	None	Naglu
0.7164	1.6228	None	Cdon
1.2172	3.1602	None	Trim62
23.7326	34.8145	None	Nicn1
22.6752	20.427	None	Btf3l4
0.1199	2.2293	Up	B4galt2
0.5997	2.6885	Up	Corin
1.7522	6.8875	Up	Zc2hc1a
7.6874	5.7233	None	5430405H02Rik
0.7137	1.6277	None	Rad51
1.9539	1.7773	None	Chgb
35.3998	63.1701	None	Ikbkg
49.0194	33.3414	None	Rgp1
37.4584	33.294	None	Tango2
11.5526	27.6471	Up	Ntn1
432.7929	0.3448	Down	Mup8
3.3955	3.1353	None	Gm12500
26.736	24.9102	None	Psmd12
8.5733	8.0264	None	Lrrc29
0.0994	0.0241	None	Fcgbp
319.175	519.7302	None	Serpina10
32.2507	35.4961	None	Laptm4b
1.5809	1.9827	None	Mrvi1
5.0539	6.4738	None	Krtcap3
16.8564	10.8717	None	Eif1ad
0.1881	0.0118	None	Unc79
0.0352	1.0535	Up	Arsi
5.8609	2.129	Down	Jpx
0.879	0.7907	None	4933406I18Rik
20.8078	36.9875	None	Acox2
20.8448	25.7114	None	Uba2
62.0282	51.0051	None	Rnf167
5.9588	8.8236	None	Smc5
2.3145	3.0742	None	Pcnt
0.1444	0.1749	None	Pnmal2
0.223	0.7213	None	Mcoln2
67.8392	71.0191	None	Eif3j2
77.3632	60.9443	None	Pemt
3.6105	8.7489	None	Mirt2
4.9481	6.8702	None	Fam199x
0.3787	0.4196	None	Gabrd
12.8015	343.9758	Up	Lpl
20.3077	17.6439	None	Upf3b
47.3659	63.7178	None	Osbp
0.4066	0.4833	None	5730522E02Rik
34.554	25.2788	None	Oard1
30.8418	25.2167	None	Cobll1
8.1272	65.4227	Up	Myc
47.6057	45.5296	None	Nudt2
5.5261	5.2176	None	Zmym1
13.5844	13.5126	None	Aven
32.5729	48.7528	None	Cmtm4
16.6515	15.8628	None	Dcaf10
3.3895	4.0564	None	Casp8ap2
0.4163	0.3053	None	Asphd1
0.9843	2.3592	None	Siglech
8.147	10.4593	None	Atg4a
4.1634	4.5276	None	Ndufaf6
1.1635	1.1502	None	Cks1brt
1.1775	1.9884	None	Spn
4.4817	5.5215	None	Rab13
51.2359	55.6967	None	Gtf2h5
7.8183	7.8508	None	Klhl3
150.1644	114.1814	None	Zfand6
28.1552	24.4743	None	Fam20b
11.0032	24.5664	Up	Slc2a1
18.1626	12.0332	None	Wee1
14.296	32.893	Up	Marveld2
252.1568	318.9678	None	Col18a1
0.9719	0.616	None	Gp5
275.611	157.5177	None	Mpst
10.5873	12.8873	None	Ep400
0.2421	0.4184	None	Phox2a
0.3111	1.744	None	Fcamr
38.0439	25.7125	None	Foxq1
8.0154	17.7116	None	Fscn1
49.7532	64.9276	None	Scamp4
730.4045	1299.9519	None	Mir1892
2.9911	1.565	None	Asb2
33.6834	40.7201	None	Fkbp9
5.497	3.6961	None	Tm2d1
0.3587	0.2337	None	Rmi2
211.2804	636.8061	None	Mt1
28.0266	32.0688	None	Arrdc4
0.1448	0.6603	None	Rassf9
2.4329	5.6793	None	P2ry12
0.0328	0.0991	None	Faxc
3.9772	2.6803	None	Qtrt1
6.1483	5.8599	None	Kmt2c
10.401	5.2653	None	Zcrb1
0.0384	0.2123	None	Nav3
0.0586	0.6001	None	Clspn
4.4458	3.7107	None	Fgd5
34.1114	36.202	None	Pfdn1
73.0461	55.494	None	Mocs2
26.0008	28.0874	None	Glod4
6.5367	7.7962	None	Sec23ip
